,x,y,celltype_F,rotated_x,rotated_y
53,5027,173,Oligo,5738.862431836114,6899.282816858733
69,5168,201,Oligo,5748.309994059476,7042.725291628363
160,5676,318,Oligo,5766.776747295735,7563.697439660204
177,5339,334,Oligo,5664.09991587556,7242.3215409224285
229,5457,393,Oligo,5637.650939446603,7371.571112085588
256,5809,416,Oligo,5706.538949318041,7717.529840976697
277,5294,434,Oligo,5555.86047621704,7224.736783249672
283,5623,441,Oligo,5634.250461271746,7544.338113414494
291,5815,451,Oligo,5674.284459668539,7732.38406251302
307,5947,466,Oligo,5693.959686227736,7863.768557259715
309,5625,470,Oligo,5606.756250399568,7553.775717375045
318,5082,477,Micro/PVM,5459.456028124876,7031.089727015798
330,5522,492,Oligo,5558.847520575649,7459.979376259526
371,6098,525,Oligo,5676.051738287161,8024.893680690413
374,5859,528,Oligo,5611.296209028792,7794.813865342632
381,6397,537,Oligo,5741.847522857346,8316.811331292076
392,5221,555,Oligo,5420.089660943579,7185.5413023879755
408,5103,574,Oligo,5371.196422921989,7076.479616742814
411,6266,577,Oligo,5669.305194897353,8200.627809852307
418,5987,586,Oligo,5588.401348877148,7933.463875723581
420,5898,590,Oligo,5561.502750557867,7848.531753364263
444,6767,613,Oligo,5764.2002067473095,8693.874134446822
446,6815,616,Oligo,5773.725743433363,8741.015031244006
460,5306,637,Oligo,5362.883362021589,7288.868159320953
470,4966,647,Oligo,5265.225628423842,6963.041568833694
500,6861,671,Oligo,5732.50549906218,8799.682666733941
520,5045,690,Oligo,5244.137522456511,7050.478928049939
521,5425,690,Oligo,5342.488759595469,7417.530742039786
531,5335,697,Oligo,5312.433564752218,7332.409150989487
540,5938,706,Oligo,5459.808116512437,7917.191795647718
544,6921,712,Oligo,5708.431682890479,8868.249797160486
547,6541,715,Oligo,5607.182668272655,8501.974440305949
554,5891,722,Oligo,5432.1888081719935,7875.934386533772
559,6747,727,Oligo,5648.908281648305,8704.060989062727
585,6452,754,Oligo,5546.476666033257,8426.10098452522
595,7142,759,Oligo,5720.23217802255,9093.88389989019
596,5852,761,Oligo,5384.423758187721,7848.357222067496
597,6211,762,Oligo,5476.373869553237,8195.383412750376
606,6307,771,Oligo,5492.527165446477,8290.441663480047
618,5955,778,Oligo,5394.661380786367,7952.247505942013
629,6510,785,Oligo,5531.544470034241,8490.148072848166
641,6490,797,Oligo,5514.776979216723,8473.935384863613
647,7139,800,Oligo,5679.852762009391,9101.597703260526
650,5050,803,Oligo,5136.281999311359,7084.55510927797
651,7515,803,Micro/PVM,5774.270945489071,9465.562271080524
663,6687,814,Micro/PVM,5549.343592055005,8668.622696409304
678,5681,835,Oligo,5268.687190329799,7702.336515109652
688,7016,845,Oligo,5604.551357278773,8994.435683656584
689,6694,846,Oligo,5520.245698929472,8683.666386636607
704,6381,857,Oligo,5428.610153723203,8384.178612504256
714,7535,867,Oligo,5717.628073508622,9501.445206492866
715,7461,870,Oligo,5695.577686692168,9430.743152482783
724,6925,876,Oligo,5551.055123559483,8914.559823862457
726,6004,878,Oligo,5310.750931367484,8025.45977594043
728,5228,882,Oligo,5106.043649062771,7276.936610920523
729,6123,883,Oligo,5336.720768603238,8141.699044494342
730,5939,883,Oligo,5289.098064304374,7963.968692457153
734,5416,886,Oligo,5150.837926236889,7459.565942443278
735,7304,885,Oligo,5640.454209216736,9282.975083431937
750,5789,897,Oligo,5236.752245970949,7822.703285145228
756,7189,898,Oligo,5598.132983288188,9175.258260995026
762,5847,902,Oligo,5246.93412145545,7880.021078295507
764,5507,908,Micro/PVM,5153.140091162859,7553.159211627839
787,7859,925,Oligo,5745.461746197072,9829.41667882647
788,5480,925,Oligo,5129.731237898176,7531.479138084776
794,6104,927,Micro/PVM,5289.302470389571,8134.73449177936
797,6689,929,Oligo,5438.779760121967,8700.31873824867
804,6325,935,Oligo,5338.774072746915,8350.274651750064
818,5954,946,Oligo,5232.1270229247,7994.763179692947
825,7381,955,Oligo,5592.768467849395,9375.46870521337
837,6027,962,Micro/PVM,5235.565999996559,8069.41686973369
838,6899,963,Oligo,5460.290281499668,8911.96300930286
843,6787,965,Oligo,5429.370696795608,8804.29695484869
846,5471,967,Oligo,5086.832981788113,7533.65620554248
849,5574,972,Oligo,5108.661714302227,7634.440660875767
850,5803,972,Oligo,5167.9312756307045,7855.637675095964
855,6371,976,Oligo,5311.07678994378,8405.318820608565
863,7876,984,Oligo,5692.87204621276,9861.107741534433
864,7995,985,Oligo,5722.705586753671,9976.311733907934
866,6188,989,Oligo,5251.15586894826,8231.919041983998
870,6263,993,Oligo,5266.703594025793,8305.398755136088
882,5420,1007,Oligo,5034.996177436322,7494.746750205839
885,6226,1011,Oligo,5239.740624483797,8274.318242375239
894,5877,1014,Oligo,5146.515000264149,7937.986586135661
905,6291,1025,Oligo,5243.0409008474135,8340.726887715464
906,7934,1026,Oligo,5667.3146661245655,9928.001839353507
913,5388,1027,Oligo,5007.39545146726,7469.01350466664
917,6975,1033,Oligo,5412.345721087225,9003.490705258006
920,7323,1035,Oligo,5500.482897130324,9340.150530896806
937,4880,1045,Oligo,4858.528711681976,6982.981927723638
938,4968,1046,Oligo,4880.338861824708,7068.242219482178
939,6067,1047,Oligo,5163.81506656609,8130.053521618967
941,6430,1049,Astro,5255.834528285726,8481.202234652104
942,7222,1047,Oligo,5462.751063659501,9245.69785098284
945,5235,1049,Oligo,4946.5457693882145,7326.9208722366675
946,5581,1049,Oligo,5036.097158993686,7661.131208132685
949,6366,1053,Oligo,5235.406406094008,8420.418257950014
964,6292,1066,Oligo,5203.696761014664,8352.304394390956
973,6113,1071,Oligo,5152.538522809868,8180.697766710725
974,6968,1071,Oligo,5373.828806372522,9006.56434818788
977,7982,1074,Oligo,5633.373540627611,9986.789593180301
990,7678,1081,Oligo,5547.931070132421,9694.959875304143
991,6407,1083,Oligo,5217.040212154539,8467.785788180941
998,5369,1089,Oligo,4942.590488380389,7466.707694763503
999,7753,1089,Oligo,5559.615091904798,9769.474864636642
1001,7005,1090,Oligo,5365.052520341824,9047.22116561752
1004,5132,1091,Oligo,4879.318523038513,7238.300912023199
1005,7105,1091,Oligo,5389.9684990257865,9144.072567291532
1006,6175,1093,Micro/PVM,5147.334935427864,8246.279186932901
1007,6503,1096,Oligo,5229.329804742624,8563.879315091024
1010,5745,1099,Micro/PVM,5030.247191076047,7832.483995899218
1013,5967,1100,Oligo,5086.739093262517,8047.178348380494
1016,6144,1104,Micro/PVM,5128.686360940506,8219.182495814068
1019,6409,1105,Oligo,5196.307482066385,8475.411658825775
1027,6730,1107,Oligo,5277.456543891716,8785.99148715477
1028,5053,1112,Oligo,4838.587376123344,7167.427971693516
1029,5470,1112,Oligo,4946.514917931096,7570.219041256058
1032,4980,1114,Oligo,4817.7617341782825,7097.433024464619
1036,5356,1114,Oligo,4915.07769513683,7460.621135149309
1039,6314,1115,Oligo,5162.060414518755,8386.236895779339
1041,8037,1119,Oligo,5604.141925925242,10051.562370655814
1047,5643,1123,Oligo,4980.665428644652,7740.171218700194
1051,7386,1125,Oligo,5429.855172605767,9424.297572012245
1052,5991,1126,Oligo,5067.836678861461,8077.089863384097
1053,7073,1126,Oligo,5347.878885662389,9122.22160742887
1054,8721,1128,Oligo,5772.480820338764,10714.585007243459
1059,7976,1130,Oligo,5577.728780084808,9995.487904748308
1068,7518,1137,Oligo,5452.42817664383,9554.905609623633
1069,6881,1139,Oligo,5285.628593260947,8940.1284963677
1083,5793,1149,Oligo,4994.374213926514,7891.7893878162195
1084,8622,1147,Oligo,5728.505144174122,10623.87591229779
1091,4995,1153,Oligo,4783.972912629546,7122.015854617954
1098,8445,1159,Oligo,5671.103063275507,10456.012869585855
1102,8275,1164,Oligo,5622.274196476633,10293.099574342225
1103,8714,1165,Oligo,5734.92983145035,10717.39983112823
1106,8137,1166,Oligo,5584.625316599907,10160.319448404538
1119,6615,1171,Oligo,5185.873100822426,8691.474436018088
1123,6252,1175,Oligo,5088.058084145056,8341.878637255568
1130,5902,1181,Oligo,4991.675863401439,8005.357512325008
1131,6925,1180,Oligo,5257.413672367606,8993.240813573622
1136,5621,1184,Oligo,4916.049934248763,7734.7088122730875
1139,6091,1187,Oligo,5034.79710796808,8189.470407764258
1140,6549,1187,Oligo,5153.336230625035,8631.86443620465
1143,7974,1189,Oligo,5520.2215182435475,10008.826376756779
1144,5986,1191,Oligo,5003.757404927159,8089.083472184317
1153,8378,1194,Oligo,5619.954783333521,10400.354505803076
1171,8732,1206,Oligo,5699.985615384344,10745.398076850635
1175,8314,1210,Oligo,5587.935551226335,10342.676357642214
1177,5293,1212,Oligo,4804.111364319042,7425.132074513143
1178,6438,1215,Oligo,5097.561393482561,8531.893602749435
1182,7170,1219,Oligo,5283.153231192449,9239.986583773443
1185,5366,1225,Oligo,4810.448118869768,7499.009307418579
1193,5765,1228,Oligo,4910.819140386807,7885.190169243225
1196,6711,1229,Oligo,5154.696031227502,8799.214819957786
1197,7100,1228,Oligo,5256.342565598671,9174.701147339132
1198,7823,1229,Oligo,5442.502809381504,9873.32433879123
1199,8491,1230,Oligo,5614.428005683699,10518.82160979743
1200,8678,1229,Oligo,5663.793092944159,10699.190920268384
1203,6412,1232,Oligo,5074.411359262981,8511.179455032663
1210,6103,1237,OPC,4989.606645194857,8214.002469934852
1213,8931,1238,Oligo,5720.580978918496,10945.89952572544
1222,7014,1253,Oligo,5209.935982062628,9098.102002405834
1225,7240,1254,Oligo,5267.463160429508,9316.660058192267
1243,6047,1270,Oligo,4943.237226401577,8168.451652151048
1244,6216,1270,Oligo,4986.977645023902,8331.6931167939
1245,6949,1270,Oligo,5176.69200508405,9039.716747463786
1250,5118,1272,Oligo,4700.862481848757,7271.624197618708
1251,6137,1273,Oligo,4963.633162981936,8256.16143365237
1262,6901,1279,Oligo,5155.575358482528,8995.681679207835
1263,7023,1279,Oligo,5187.151281985035,9113.524630015101
1265,5634,1280,Oligo,4826.685702511346,7772.112476344688
1266,5778,1281,Oligo,4862.989719179819,7911.464614375416
1267,6431,1281,Oligo,5031.998555631764,8542.214178942178
1268,9121,1281,Oligo,5728.221786957544,11140.554651659771
1275,5883,1283,Oligo,4888.233867263005,8013.404464225974
1277,7850,1287,Oligo,5393.467225674507,9914.415840716982
1280,8905,1288,Oligo,5665.555392431376,10933.726406497051
1282,8052,1289,Oligo,5443.816821132637,10110.050495717578
1288,6196,1293,Oligo,4959.584970117204,8318.327438305478
1289,7408,1292,Oligo,5274.239578607748,9488.770720722725
1296,6509,1297,Oligo,5036.731627929136,8621.697498114365
1297,8786,1297,Oligo,5626.062593627575,10821.110604574575
1301,8760,1300,Oligo,5616.435520976042,10796.772990226365
1303,5287,1302,Oligo,4715.625125682411,7442.630233614636
