,x,y,celltype_F,rotated_x,rotated_y
8960,13197,13409,Oligo,8974.033252295183,36789.337344430794
8985,13416,13437,Oligo,8825.483755494211,36952.67150191226
9053,13257,13501,Oligo,8864.256678039532,36785.71743494384
9077,13519,13526,Oligo,8693.500850608334,36985.99585963878
9122,13037,13567,Oligo,8936.37945911369,36567.64794040109
9123,13502,13566,Oligo,8670.485568254742,36949.12721743182
9163,13053,13592,Oligo,8906.723435024847,36566.41496220094
9180,13217,13604,Oligo,8802.827074931809,36693.87298022812
9244,12971,13647,Oligo,8908.703340369739,36467.69779056993
9249,13507,13656,Oligo,8593.894002086978,36901.601098381674
9264,13580,13668,Oligo,8542.193097701882,36954.51628037856
9275,13453,13677,Oligo,8607.664936719866,36845.32178282669
9281,13032,13678,Oligo,8848.321464379365,36499.88519574468
9287,13252,13682,Oligo,8718.858040204981,36677.804339742856
9309,13642,13699,Oligo,8481.23764527516,36987.52283759759
9319,13327,13709,Oligo,8653.722702282848,36723.75417928305
9326,13468,13710,Oligo,8572.029272713062,36838.68104109145
9341,13139,13726,Oligo,8747.629487563932,36560.00279553875
9361,12885,13741,Astro,8881.030621732763,36343.33452974408
9372,12766,13751,Oligo,8941.094697215649,36240.11967211018
9373,12864,13750,Oligo,8885.703358497534,36320.97014888685
9382,13671,13757,Oligo,8417.093110052218,36978.010813573615
9409,13443,13779,Oligo,8529.8471925659,36778.625465876
9412,13176,13780,Oligo,8682.17294902734,36559.33829361449
9414,12984,13784,Oligo,8789.023016629584,36399.7667953656
9422,13646,13790,Oligo,8404.400503499457,36938.603990066804
9429,13549,13794,Oligo,8456.760809648353,36856.85193602537
9443,12844,13805,Oligo,8852.121524788661,36273.04040400177
9459,13353,13821,Oligo,8547.064685977355,36680.811571563245
9462,12739,13824,Oligo,8896.78316176403,36176.13148706075
9472,12712,13835,Oligo,8903.25905305833,36147.70504106509
9481,13652,13842,Oligo,8358.363138578323,36913.69292764228
9530,13536,13883,Oligo,8391.312771379196,36795.154656614366
9537,13325,13888,Oligo,8508.241639227821,36619.44569308763
9579,13070,13924,OPC,8625.014156902935,36389.9131700853
9580,13675,13923,Oligo,8278.81956495484,36886.073733316494
9603,12790,13943,Oligo,8770.051670239736,36149.65264539372
9605,12595,13944,Oligo,8881.079923283902,35989.34442032101
9629,12444,13962,Oligo,8952.94522837571,35855.32808577905
9635,13656,13968,Oligo,8252.855675252507,36844.698904839206
9641,13437,13972,Oligo,8375.192306636229,36663.01030139452
9666,12495,13992,Oligo,8899.118268793134,35879.897546947264
9674,13100,13996,Oligo,8548.827916623595,36373.1902279967
9683,13325,14004,Oligo,8413.2200020903,36552.910826470914
9694,13475,14008,Oligo,8323.906928460485,36673.48932736886
9701,12400,14014,Oligo,8935.586685272126,35789.45942114008
9710,13165,14022,Oligo,8490.247495109264,36411.52212353036
9716,13290,14026,Oligo,8415.273832388228,36511.621823321075
9743,12500,14040,Oligo,8856.931088485508,35856.46163822386
9750,12784,14048,OPC,8687.4821642075,36084.51220731113
9786,13610,14074,Oligo,8192.410074630021,36746.2188085487
9821,13097,14103,Oligo,8462.899377193728,36309.36009317427
9825,13494,14105,Oligo,8233.551227873784,36633.416301884296
9843,13693,14117,Oligo,8109.579692508458,36789.544641461594
9847,12781,14118,OPC,8631.862250416323,36041.904400633684
9861,13358,14134,Oligo,8287.802213933146,36505.377907206814
9864,13049,14139,Oligo,8460.941572544172,36249.39204333976
9883,13867,14151,Oligo,7981.926223077549,36912.57549833194
9893,12489,14160,Oligo,8764.94218397069,35778.62179337455
9901,13598,14165,Oligo,8124.750155835935,36684.19352830929
9918,12200,14174,Oligo,8919.237645456098,35533.85678246612
9919,13768,14173,Oligo,8020.688945301945,36818.86076434761
9922,13694,14178,Oligo,8059.037841370478,36755.37563088847
9930,13134,14184,Oligo,8375.32573346133,36293.20902746853
9934,12599,14187,Oligo,8679.731670776273,35853.241954464866
9962,12690,14208,Oligo,8610.334022138259,35915.73968533179
9963,13592,14206,Oligo,8094.606380638193,36655.76198215316
9966,13804,14208,Oligo,7971.369872043193,36828.27506266973
9973,13465,14214,Oligo,8160.897371700464,36547.141061037655
9979,12519,14222,Oligo,8696.947464134242,35767.634615649455
9983,12977,14225,Oligo,8431.792000152596,36141.085522624766
9991,13962,14230,Astro,7862.72345012537,36945.08240406767
10003,12938,14241,Oligo,8441.055048461661,36099.96136991588
10022,13213,14258,Oligo,8269.395943712212,36315.47738267738
10028,12181,14263,Oligo,8857.231065805048,35467.244590789385
10030,13510,14264,Oligo,8094.128829850218,36555.324081213104
10032,12867,14267,Oligo,8460.481022291073,36026.888587426234
10036,12207,14269,Oligo,8837.403166194186,35485.10108532279
10037,13450,14267,Oligo,8126.085959898413,36504.454229246716
10056,13661,14284,Oligo,7991.135747075429,36667.54451117372
10063,13220,14293,Oligo,8236.71058710764,36301.13627171512
10068,12238,14297,Oligo,8796.686039427212,35494.43465847793
10085,12891,14307,Oligo,8413.949106047088,36023.60517903513
10086,13371,14309,Oligo,8136.994112510009,36415.65100742114
10095,12636,14313,Oligo,8555.296185050871,35811.27994912332
10099,12100,14314,Oligo,8861.914002890742,35371.64087694808
10103,12149,14324,Astro,8825.617237066652,35406.04356275473
10109,13003,14325,Micro/PVM,8334.963808378569,36105.025832141175
10125,13253,14335,Oligo,8183.378178847917,36304.07807884991
10134,13020,14343,Oligo,8310.4682721634,36108.62704103977
10153,12540,14353,Oligo,8577.593441169012,35709.69829541754
10160,13186,14362,Oligo,8199.690694887635,36233.70832810107
10173,13734,14374,Oligo,7875.540983235794,36675.720731135225
10178,12500,14378,Oligo,8580.05769751583,35662.59280273721
10198,11990,14385,Oligo,8866.84761574484,35240.81022509536
10211,12881,14396,Oligo,8346.780338468878,35964.36535575699
10216,12778,14401,Oligo,8401.762951191591,35877.12481301347
10217,13311,14407,Oligo,8091.131798350751,36310.2913940014
10224,13468,14412,Oligo,7996.98453762219,36436.03038277301
10225,13757,14413,Oligo,7830.4017954724495,36672.19174713618
10236,13520,14422,Oligo,7958.967042489046,36472.89052471253
10240,11936,14426,Oligo,8864.235509491948,35173.05938081336
10241,12083,14424,Oligo,8781.558077436923,35294.621884196546
10256,12251,14435,Oligo,8676.186563642768,35425.93008683724
10257,14129,14435,Oligo,7599.010016175502,36964.29762601196
10261,11955,14438,Oligo,8843.50773266981,35181.74035241864
10266,11707,14442,Astro,8982.478080707713,34976.296339689565
10275,12388,14449,Oligo,8586.138463242627,35530.12384679591
10284,13355,14460,Oligo,8022.479376803987,36315.93453282351
10287,11875,14464,Oligo,8868.09589442638,35101.295201530396
10290,12240,14472,Oligo,8652.187278803936,35395.697086205066
10292,13816,14472,OPC,7748.230815114686,36686.68070800452
10294,13888,14473,Oligo,7706.114159653123,36745.086078756976
10299,14046,14478,Oligo,7611.393322488212,36871.64421957288
10318,13762,14488,Oligo,7766.0975099690195,36633.2692746313
10322,13044,14492,Oligo,8174.648783091915,36042.8238010864
10323,13294,14490,Oligo,8032.892978092732,36248.758965031346
10327,13271,14495,Oligo,8041.989475907361,36227.05058583095
10339,12509,14505,Oligo,8470.863199963967,35597.12096371922
10365,12706,14519,Oligo,8346.400513382767,35750.46384633524
10366,13141,14517,Oligo,8098.533067658638,36107.94213847365
10384,12185,14532,Oligo,8634.584860145904,35316.22913758811
10397,13638,14541,Oligo,7793.805929729233,36501.294870012855
10407,12667,14545,Oligo,8347.472041248944,35703.60392926284
10408,13271,14546,Oligo,8000.212721648622,36197.79818757704
10442,11515,14581,Oligo,8978.742622330945,34739.292022533285
10465,12280,14600,Oligo,8524.392759680903,35355.045384123696
10479,14155,14611,Oligo,7439.926269035513,36884.6461263657
10491,11978,14622,Oligo,8679.591498484562,35095.0427851487
10492,13108,14623,Oligo,8030.63097336359,36020.11101875891
10498,11856,14624,Oligo,8747.929519630812,34993.95908287274
10514,12758,14634,Oligo,8222.372053599278,35727.0984624579
10515,12998,14634,Oligo,8084.713708875026,35923.69495308725
10516,12817,14639,Oligo,8184.43528363312,35772.56055088919
10517,13381,14637,Oligo,7862.576477619708,36235.709456740886
10520,13913,14640,Oligo,7554.976357348085,36669.777614993574
10523,12867,14642,Oligo,8153.299005682701,35811.79742379459
10539,14115,14655,Oligo,7426.826636540839,36826.64268139469
10545,11968,14659,Oligo,8655.01863720938,35065.62893656082
10548,14245,14663,Oligo,7345.70848346089,36928.54383566145
10550,12321,14665,Oligo,8447.631242911726,35351.34814957673
10582,13039,14698,Oligo,8008.771344150137,35920.57129497664
10591,14211,14701,Oligo,7334.082304613845,36878.89676157428
10593,13793,14703,Oligo,7572.198950920004,36535.34405418878
10597,12061,14708,Oligo,8561.53757845857,35113.70483129849
10609,12181,14721,Oligo,8482.05942952069,35204.54658294061
10613,11972,14722,Oligo,8601.117752673768,35032.77022924786
10614,12971,14723,Oligo,8027.295740714784,35850.52954505621
10625,12213,14727,Oligo,8458.790071291722,35227.31798973975
10631,12403,14734,Oligo,8344.076484075,35378.9418431002
10640,12688,14739,Oligo,8176.511439493506,35609.532293540804
10641,13982,14741,Oligo,7432.665226766674,36668.36788597806
10655,13793,14747,Astro,7536.156260971288,36510.106690989334
10659,11351,14749,Oligo,8935.191614451966,34508.590245962914
10661,11266,14752,Astro,8981.488155408937,34437.241592889295
10662,12018,14751,Oligo,8550.97782731724,35053.81750663097
10668,12998,14756,Oligo,7984.777159471769,35853.71862785243
10678,13974,14764,Oligo,7418.4133412388355,36648.622411587676
10688,12347,14770,Oligo,8346.707290916254,35312.420576911376
10699,14155,14776,Oligo,7304.7661817278295,36790.00601436777
10705,13451,14778,Oligo,7706.925688830387,36212.17582231562
10711,12167,14782,Oligo,8440.121224927974,35158.09029170315
10713,13742,14784,Oligo,7535.100033586499,36447.107608585604
10714,14034,14785,Oligo,7366.796562127705,36685.72642908164
10716,13939,14787,Oligo,7419.648019492476,36606.75983200149
10717,14236,14786,Oligo,7250.114969940504,36850.62156559167
10725,12796,14793,Oligo,8070.330973975988,35667.02758676106
10733,12442,14800,Oligo,8267.642968134234,35373.0327280283
10740,13438,14803,Oligo,7693.903381395727,36187.18743483108
10751,13042,14809,Oligo,7916.124737925006,35859.36176667454
10755,11219,14811,Oligo,8960.116277304387,34364.90043706301
10758,12694,14816,Oligo,8109.995273465149,35570.281820207514
10765,13410,14822,Oligo,7694.399632772064,36153.35322530032
10767,13198,14823,Oligo,7815.1786852341975,35979.119415474706
10773,11244,14825,Oligo,8934.308737775564,34377.349168061315
10774,12909,14827,Oligo,7977.665667162494,35740.09016892978
10775,13295,14827,Astro,7756.26516273099,36056.28285802533
10776,14343,14827,Oligo,7155.1570574350935,36914.7542004402
10782,11722,14831,Oligo,8655.22428893403,34765.46238661335
10789,12055,14835,Oligo,8460.946727451976,35035.94571161618
10791,13898,14838,Oligo,7401.387899124131,36543.92219993174
10793,14034,14839,Oligo,7322.562351736099,36654.753301518685
10794,11743,14841,Oligo,8634.987663327767,34776.928815179905
10796,11634,14842,Oligo,8696.688342845744,34687.06766591605
10797,12019,14841,Micro/PVM,8476.68056689488,35003.01477940367
10806,13337,14847,Oligo,7715.791911518467,36079.215715158454
10809,12765,14847,Oligo,8043.877633111266,35610.660745825146
10826,13366,14856,Oligo,7691.785826465684,36097.80893651567
10830,11463,14860,Oligo,8780.02517666457,34536.66829048832
10842,11192,14868,Oligo,8928.911174561392,34310.08947499519
10844,13693,14871,Oligo,7491.939051114558,36357.06800845291
10859,13544,14884,Oligo,7566.752963555107,36227.55786018128
10865,13646,14888,Oligo,7504.971558870144,36308.817062953356
10898,12677,14913,Oligo,8040.2883245870835,35500.71932112855
10903,13083,14923,Oligo,7799.224770985668,35827.55928674637
10907,11981,14925,Oligo,8429.667699755944,34923.70658106719
10910,13269,14929,Oligo,7687.624641558639,35976.48010836601
