,x,y,celltype_F,rotated_x,rotated_y
1317,12307.0,3587.0,Oligo,13161.856912021465,3893.655604822616
1373,12756.0,3692.0,Oligo,13477.289579418832,3557.310198523403
1391,11851.0,3729.0,Astro,13056.832519358855,4359.56318894832
1411,12111.0,3774.0,Oligo,13225.803662529155,4156.896583964366
1412,11668.0,3773.0,Oligo,13003.437637125371,4540.045837840872
1431,12615.0,3824.0,L6 IT Car3,13521.104932718377,3745.419780457009
1438,12555.0,3838.0,Oligo,13503.22928837136,3804.381304684075
1439,11625.0,3844.0,VLMC,13043.425440794066,4612.784930203603
1496,11446.0,3963.0,L6 CT,13056.982463844413,4827.303477481018
1497,12709.0,3954.0,Oligo,13680.688235210355,3729.0133925012715
1499,11338.0,3962.0,Micro/PVM,13002.11643844063,4920.334221089737
1503,12881.0,3966.0,Oligo,13777.080540055767,3586.057023050348
1506,13114.0,3977.0,L6B,13903.106819497396,3389.773103968574
1511,11373.0,3971.0,Oligo,13027.41066707469,4894.523331957282
1522,12513.0,4011.0,Oligo,13632.051683226067,3927.254371643022
1531,12376.0,4035.0,Micro/PVM,13584.336292916894,4057.8998519614897
1532,12121.0,4038.0,Oligo,13459.434369128247,4280.236329926522
1535,12832.0,4042.0,Oligo,13818.398470743385,3666.4922678357857
1554,11983.0,4087.0,OPC,13432.869613913685,4424.2478356487745
1566,12099.0,4118.0,Micro/PVM,13517.716401431002,4339.28888880978
1586,11941.0,4147.0,Oligo,13463.831138140751,4490.62090260772
1603,11908.0,4192.0,Astro,13486.302281311051,4541.699740932607
1608,12798.0,4207.0,L6 IT,13944.292662367818,3778.4371315644566
1613,12824.0,4213.0,Oligo,13962.488814790524,3758.9204710660615
1641,12978.0,4249.0,Oligo,14070.665729326764,3643.552558883258
1643,11097.0,4250.0,Astro,13131.031754730548,5273.0463434017865
1652,11016.0,4267.0,Oligo,13105.254186594884,5351.694401108327
1659,12316.0,4302.0,Micro/PVM,13785.56507572734,4243.361376188556
1661,12772.0,4308.0,Oligo,14018.761228150046,3851.4537920628522
1662,11582.0,4308.0,Astro,13423.761228150046,4882.024022566335
1678,10820.0,4361.0,Oligo,13088.66057455062,5568.435380250076
1679,12574.0,4357.0,Oligo,13962.196472935484,4047.426822012171
1681,11213.0,4354.0,SST,13279.09839672413,5224.5873965627925
1683,12538.0,4371.0,Oligo,13956.320828588465,4085.603736548411
1693,12642.0,4378.0,Astro,14014.383006414957,3999.0370945548293
1704,11784.0,4397.0,Oligo,13601.83748908686,4751.586891001878
1705,12745.0,4400.0,Astro,14084.935565298214,3920.836477965032
1711,13049.0,4411.0,Oligo,14246.461844739842,3663.064755214563
1716,10950.0,4413.0,Oligo,13198.69389554741,5481.8520777581
1718,11128.0,4411.0,Oligo,13285.961844739842,5326.699555884469
1723,11778.0,4430.0,Micro/PVM,13627.416327411747,4773.283043424584
1726,12275.0,4441.0,Micro/PVM,13885.442606853376,4348.368417743718
1737,12500.0,4460.0,Oligo,14014.39708952528,4163.012701892219
1739,10463.0,4465.0,Astro,13000.227216544203,5929.606449401121
1742,13308.0,4465.0,Micro/PVM,14422.727216544203,3465.7641756343933
1753,13069.0,4495.0,Oligo,14329.207978657736,3687.744247138874
1760,10966.0,4503.0,L6 IT,13284.63618188801,5512.995671297548
1778,13189.0,4536.0,Oligo,14424.715020212898,3604.3211986847414
1784,10558.0,4546.0,L6 IT Car3,13117.875274250742,5887.834036041599
1788,13637.0,4558.0,Oligo,14667.767579096155,3227.3418177893127
1803,12354.0,4578.0,Oligo,14043.588087171844,4348.452410844748
1809,12438.0,4611.0,Oligo,14114.166925496731,4292.206276926855
1812,12749.0,4615.0,Oligo,14273.131027111867,4024.8723763498942
1815,13316.0,4622.0,LAMP5 LHX6,14562.69320493836,3537.3359724041175
1829,12707.0,4656.0,LAMP5 LHX6,14287.63806866703,4081.7454433088405
1831,13449.0,4665.0,L6B,14666.43229730109,3443.6545937007872
1832,10908.0,4666.0,L6 IT,13396.798322704875,5644.725144717046
1848,10364.0,4691.0,Astro,13146.448957799485,6128.34296437578
1853,12033.0,4706.0,Oligo,13993.939338856253,4690.446565459552
1858,11752.0,4711.0,Oligo,13857.769465875175,4936.2997039229795
1860,12607.0,4718.0,Oligo,14291.331643701666,4199.347983687285
1864,10589.0,4720.0,Micro/PVM,13284.063694509234,5947.987248524281
1866,10278.0,4736.0,L6 CT,13142.420100969784,6225.321149101242
1872,11108.0,4738.0,Oligo,13559.152151777354,5507.520063960158
1873,12499.0,4744.0,Astro,14259.84830420006,4305.8787272960035
1875,11569.0,4755.0,L6 IT,13804.37458364169,5116.782352815531
1890,10477.0,4773.0,OPC,13273.96304090981,6071.482093748138
1895,12448.0,4789.0,L6 CT,14273.31944737036,4372.546022889011
1896,11582.0,4783.0,Oligo,13835.123294947654,5119.524022566335
1899,10211.0,4790.0,L6 CT,13155.685472774145,6310.3448511547995
1912,10568.0,4820.0,Oligo,13360.166234887678,6016.173782003754
