,x,y,celltype_F,rotated_x,rotated_y
25,5113,578,L2/3 IT,5298.740332403637,2911.6826308390114
29,5598,625,Oligo,5640.060869661074,3259.4387103635745
37,6101,667,Micro/PVM,5998.384144943086,3614.9347446469014
44,5353,702,Astro,5402.885335151061,3160.941168110534
49,5919,735,L2/3 IT,5815.254498836746,3550.0384218160416
50,5956,735,Astro,5843.598143232149,3573.8215633744435
55,5571,762,Astro,5531.315767169806,3347.031533609338
58,5511,823,Micro/PVM,5446.1430563917875,3355.1929880584034
61,4961,837,Astro,5015.8195861407385,3012.384424934473
71,5187,878,Oligo,5162.591338288479,3189.0622468915085
73,5207,916,LAMP5,5153.48629798277,3231.027687923761
79,5073,936,Oligo,5037.980590411096,3160.2150370881436
82,5903,945,Astro,5668.01238971267,3700.6231531160424
87,5559,978,L2/3 IT,5383.2811101600855,3504.7836820067996
97,4038,1010,Astro,4197.558308666151,2551.6171498533795
103,6169,1046,Astro,5806.858663003977,3948.9751460476787
109,6294,1077,Astro,5882.687802493567,4053.0709749951848
110,3780,1080,LAMP5,3954.923709663397,2439.401057572581
114,5854,1090,LAMP5,5537.2720085952915,3780.2030044936537
128,6011,1136,Astro,5627.97275611939,3916.3587035979135
129,4829,1142,Astro,4718.651498694639,3161.1800156071376
133,4382,1159,OPC,4365.302243255785,2886.876709610277
140,6421,1179,SNCG,5914.41111058165,4212.841534623511
162,4746,1269,Astro,4573.435783485574,3205.116288279265
176,3955,1288,Astro,3955.281664394418,2711.226133436473
184,4102,1310,L2/3 IT,4053.7488701198035,2822.5688898090116
192,3402,1316,Astro,3513.6610342783997,2377.2138296871476
201,5260,1336,Astro,4924.11585739973,3586.8340973471177
226,5341,1406,L2/3 IT,4941.17032461431,3692.523004750056
228,4081,1410,Astro,3973.383175845651,2885.674794317492
236,4585,1422,Astro,4351.756123861378,3218.8322829169356
240,4863,1425,Oligo,4562.7881162193935,3399.825371739151
246,6054,1448,Astro,5460.362932951306,4183.004437067556
256,3754,1466,L2/3 IT,3686.8905368032993,2718.3817347646564
264,5040,1476,Astro,4665.595814557439,3552.667045252736
266,6753,1478,SNCG,5976.544370400876,4655.294309532016
280,5420,1509,VIP,4935.480711822995,3822.205803556547
281,6303,1511,LAMP5,5610.612379877679,4391.319351795999
291,4477,1525,OPC,4202.816200206815,3228.313798712044
294,4433,1532,Astro,4164.610731441773,3205.3934549876694
295,5348,1531,Astro,4866.184184505324,3792.778073407734
297,3421,1536,Astro,3386.802604566622,2557.956571757367
303,4319,1558,SNCG,4060.56918707436,3152.032823004497
304,4505,1559,VLMC,4202.410665884803,3272.3573628493123
311,4467,1573,Micro/PVM,4164.30195051067,3258.6560558848896
326,3788,1612,PAX6,3619.0890568551094,2852.0790021893695
331,4700,1619,LAMP5,4313.222075711812,3443.6636133253264
334,5350,1623,Astro,4808.579813300401,3864.539737394053
338,6364,1633,Micro/PVM,5578.921002526179,4523.986818047394
339,4293,1641,Micro/PVM,3987.3006599492837,3198.902033931522
346,5167,1657,Oligo,4646.538901480286,3772.9551158874615
348,6588,1661,SNCG,5732.516904713608,4689.42048702451
358,6204,1680,LAMP5,5426.142873971875,4457.1448893241395
371,5068,1712,Astro,4535.347183078748,3751.451586900038
374,4031,1723,Astro,3733.8884318578157,3093.3073245294054
377,5512,1726,Astro,4866.471889287962,4047.573907804527
380,6027,1730,Astro,5258.413627055489,4381.673704565571
383,4667,1737,Micro/PVM,4212.093671145874,3512.84486649371
393,5012,1752,Micro/PVM,4466.737189876623,3746.0972584823508
398,3992,1764,Astro,3677.658406579027,3099.646429919508
406,6047,1780,Oligo,5241.595135433541,4432.83167891525
409,3205,1795,Astro,3054.8550139441086,2617.5199588328896
417,6688,1803,Astro,5717.8455084500165,4862.477558916058
418,2816,1804,L2/3 IT,2751.0786370836477,2374.369978652897
432,4901,1829,LAMP5,4332.211610744553,3733.7332559273063
440,4564,1847,Oligo,4062.4844564390996,3530.902631439084
444,4503,1856,VIP,4009.9706569216632,3498.5869872362755
445,4070,1858,Astro,3676.9878378317726,3221.792041128242
447,4529,1862,Astro,4026.0310867846374,3519.8957317468394
454,2934,1878,LAMP5,2793.905598254883,2506.906205386713
456,6689,1881,Astro,5668.474119337585,4922.871813089026
462,5550,1897,Micro/PVM,4785.664896870085,4202.993436745961
467,3727,1902,Micro/PVM,3385.9519390157557,3035.021846502994
477,5093,1932,Micro/PVM,4413.085020025683,3936.0510546283767
483,4939,1942,SNCG,4288.686299688495,3844.722207167839
497,7066,1964,SNCG,5903.921502789457,5228.7844307197265
502,5147,1972,L2/3 IT,4428.739915566646,4001.4033632762084
505,3042,1977,Astro,2813.0024247527654,2652.165667101638
508,4300,1982,VLMC,3773.4723961480067,3464.6227023028996
511,5751,1987,Astro,4881.788945065211,4401.137746173663
513,6761,1993,SNCG,5651.63710695726,5054.949498615782
520,2189,1998,SST,2146.0679749688597,2119.954769344518
524,2878,2009,OPC,2666.8019325712835,2571.2619212928525
529,4391,2016,Micro/PVM,3821.3276617424913,3549.16188585042
533,6722,2026,Micro/PVM,5600.549382555962,5055.160248460933
534,6758,2027,OPC,5627.4841948985595,5079.066646852767
538,7250,2036,L2/3 IT,5998.592972425918,5402.212550806616
554,3357,2071,Astro,2993.8843890247085,2926.6519418060816
559,6398,2083,SNCG,5315.712089233281,4890.561596180276
567,6934,2100,L2/3 IT,5715.3845213803825,5248.118510505285
573,4954,2127,Astro,4181.26125854327,3996.0822432901477
575,6080,2129,Astro,5042.541726275866,4721.39318068343
577,7030,2135,Micro/PVM,5766.427221580776,5336.6376765443565
587,7320,2151,L2/3 IT,5978.295508330294,5535.302794443356
591,3756,2162,Micro/PVM,3241.0424493477058,3252.834242394838
592,6963,2164,L2/3 IT,5696.461403210895,5315.786195545808
594,6940,2170,L2/3 IT,5674.985655361039,5305.598347181732
597,6059,2171,L2/3 IT,4999.457713363533,4740.068507491009
608,6898,2193,L2/3 IT,5628.027673727251,5296.220289766634
610,6846,2202,Astro,5582.4082741978855,5269.689734051004
611,2690,2204,Astro,2397.4419933760405,2599.796517079984
618,5452,2221,Astro,4502.329355905986,4388.1986505672285
620,3295,2230,Oligo,2844.186403611172,3008.600176461434
