,x,y,celltype_F,rotated_x,rotated_y
0,14090.0,37.0,Oligo,14090.0,37.0
1,13807.0,37.0,Oligo,13807.0,37.0
2,15187.0,38.0,Oligo,15187.0,38.0
3,14764.0,83.0,Oligo,14764.0,83.0
4,14227.0,86.0,Oligo,14227.0,86.0
5,14078.0,98.0,Oligo,14078.0,98.0
6,14811.0,87.0,Oligo,14811.0,87.0
7,14729.0,96.0,Oligo,14729.0,96.0
8,14022.0,103.0,Oligo,14022.0,103.0
9,15188.0,94.0,L6 IT,15188.0,94.0
10,15720.0,98.0,Oligo,15720.0,98.0
11,14365.0,101.0,Oligo,14365.0,101.0
12,15003.0,90.0,Oligo,15003.0,90.0
13,15501.0,103.0,Oligo,15501.0,103.0
14,14420.0,116.0,Oligo,14420.0,116.0
15,14644.0,123.0,Oligo,14644.0,123.0
16,13993.0,131.0,Oligo,13993.0,131.0
17,14614.0,132.0,OPC,14614.0,132.0
18,14103.0,135.0,Oligo,14103.0,135.0
19,14293.0,139.0,Astro,14293.0,139.0
20,15297.0,146.0,Oligo,15297.0,146.0
21,14945.0,160.0,Oligo,14945.0,160.0
23,13313.0,151.0,Oligo,13313.0,151.0
24,13912.0,143.0,Oligo,13912.0,143.0
25,13677.0,154.0,OPC,13677.0,154.0
26,15645.0,145.0,Oligo,15645.0,145.0
28,12713.0,162.0,Oligo,12713.0,162.0
29,14577.0,168.0,Oligo,14577.0,168.0
32,14019.0,177.0,Oligo,14019.0,177.0
33,13867.0,181.0,Oligo,13867.0,181.0
34,15773.0,183.0,Oligo,15773.0,183.0
35,13772.0,189.0,Oligo,13772.0,189.0
36,15066.0,180.0,Oligo,15066.0,180.0
37,13415.0,194.0,Oligo,13415.0,194.0
39,14058.0,202.0,Oligo,14058.0,202.0
40,15954.0,200.0,Oligo,15954.0,200.0
41,13667.0,200.0,Oligo,13667.0,200.0
42,15295.0,203.0,Oligo,15295.0,203.0
44,13000.0,211.0,Oligo,13000.0,211.0
45,13867.0,207.0,Oligo,13867.0,207.0
46,14842.0,217.0,Oligo,14842.0,217.0
47,13505.0,215.0,Oligo,13505.0,215.0
48,14445.0,218.0,Oligo,14445.0,218.0
49,14220.0,213.0,Oligo,14220.0,213.0
50,15862.0,220.0,Oligo,15862.0,220.0
52,14912.0,228.0,Oligo,14912.0,228.0
53,13985.0,237.0,Oligo,13985.0,237.0
55,14251.0,242.0,Oligo,14251.0,242.0
56,12872.0,235.0,Oligo,12872.0,235.0
57,14060.0,241.0,Oligo,14060.0,241.0
58,13367.0,247.0,Oligo,13367.0,247.0
59,15740.0,243.0,Oligo,15740.0,243.0
60,12693.0,245.0,Oligo,12693.0,245.0
63,15663.0,251.0,Oligo,15663.0,251.0
64,14346.0,252.0,Oligo,14346.0,252.0
66,13538.0,250.0,Astro,13538.0,250.0
68,13502.0,267.0,Oligo,13502.0,267.0
69,14803.0,260.0,Oligo,14803.0,260.0
70,15002.0,282.0,Oligo,15002.0,282.0
71,15737.0,283.0,Oligo,15737.0,283.0
72,13931.0,281.0,Oligo,13931.0,281.0
74,15984.0,286.0,Oligo,15984.0,286.0
76,13200.0,292.0,Oligo,13200.0,292.0
78,13820.0,293.0,Oligo,13820.0,293.0
79,15820.0,300.0,Oligo,15820.0,300.0
81,14512.0,315.0,Oligo,14512.0,315.0
82,12852.0,312.0,Oligo,12852.0,312.0
83,14342.0,329.0,Oligo,14342.0,329.0
84,14243.0,319.0,Oligo,14243.0,319.0
85,13593.0,326.0,Oligo,13593.0,326.0
87,12308.0,332.0,Oligo,12308.0,332.0
88,15304.0,329.0,Oligo,15304.0,329.0
89,13640.0,325.0,Oligo,13640.0,325.0
90,14068.0,325.0,Oligo,14068.0,325.0
92,12806.0,341.0,Oligo,12806.0,341.0
93,14140.0,344.0,Oligo,14140.0,344.0
94,15555.0,350.0,Oligo,15555.0,350.0
95,14039.0,356.0,Oligo,14039.0,356.0
96,12425.0,357.0,Oligo,12425.0,357.0
97,14280.0,360.0,Oligo,14280.0,360.0
98,13389.0,361.0,Oligo,13389.0,361.0
99,15312.0,365.0,Oligo,15312.0,365.0
101,13618.0,370.0,Oligo,13618.0,370.0
104,13163.0,387.0,Oligo,13163.0,387.0
105,14721.0,391.0,Oligo,14721.0,391.0
106,14843.0,396.0,Oligo,14843.0,396.0
107,15713.0,399.0,Oligo,15713.0,399.0
108,12667.0,401.0,Oligo,12667.0,401.0
109,15552.0,402.0,L6 CT,15552.0,402.0
110,13188.0,417.0,Micro/PVM,13188.0,417.0
111,12129.0,406.0,Oligo,12129.0,406.0
112,15640.0,412.0,Oligo,15640.0,412.0
113,13735.0,412.0,Oligo,13735.0,412.0
115,12877.0,409.0,Oligo,12877.0,409.0
116,14805.0,414.0,Oligo,14805.0,414.0
117,12843.0,417.0,Oligo,12843.0,417.0
118,12988.0,418.0,Oligo,12988.0,418.0
119,14107.0,427.0,Oligo,14107.0,427.0
121,12712.0,420.0,Oligo,12712.0,420.0
