,x,y,celltype_F,rotated_x,rotated_y
2912,17061,3010,Astro,17061.0,3010.0
2918,18878,3012,Oligo,18878.0,3012.0
2925,16552,3018,OPC,16552.0,3018.0
2928,18964,3022,Oligo,18964.0,3022.0
2933,15661,3028,Oligo,15661.0,3028.0
2936,16920,3030,Oligo,16920.0,3030.0
2938,17970,3031,Oligo,17970.0,3031.0
2940,17524,3034,Oligo,17524.0,3034.0
2950,16177,3043,Oligo,16177.0,3043.0
2953,16063,3048,Oligo,16063.0,3048.0
2954,17767,3047,Oligo,17767.0,3047.0
2955,17822,3048,Oligo,17822.0,3048.0
2956,18160,3048,SST,18160.0,3048.0
2958,18200,3049,Oligo,18200.0,3049.0
2961,15948,3051,Oligo,15948.0,3051.0
2968,17144,3053,Oligo,17144.0,3053.0
2985,15472,3073,Oligo,15472.0,3073.0
2988,16309,3076,Oligo,16309.0,3076.0
2989,15096,3078,VIP,15096.0,3078.0
2994,15548,3082,Oligo,15548.0,3082.0
2998,16679,3085,Oligo,16679.0,3085.0
2999,18016,3084,Oligo,18016.0,3084.0
3015,15237,3098,Oligo,15237.0,3098.0
3016,17297,3098,OPC,17297.0,3098.0
3026,17550,3106,Oligo,17550.0,3106.0
3030,15888,3109,Oligo,15888.0,3109.0
3034,15439,3112,Oligo,15439.0,3112.0
3035,17385,3111,Oligo,17385.0,3111.0
3043,17876,3117,Oligo,17876.0,3117.0
3058,15428,3131,Oligo,15428.0,3131.0
3059,15753,3132,Oligo,15753.0,3132.0
3079,15581,3147,Oligo,15581.0,3147.0
3080,17674,3149,Astro,17674.0,3149.0
3081,18954,3149,Oligo,18954.0,3149.0
3089,18146,3151,OPC,18146.0,3151.0
3104,18241,3162,VIP,18241.0,3162.0
3109,17400,3166,Oligo,17400.0,3166.0
3111,15258,3168,Oligo,15258.0,3168.0
3112,15937,3167,OPC,15937.0,3167.0
3113,16025,3168,SST,16025.0,3168.0
3142,18809,3195,Oligo,18809.0,3195.0
3156,15850,3207,L4 IT,15850.0,3207.0
3159,15763,3210,Oligo,15763.0,3210.0
3163,17101,3214,VIP,17101.0,3214.0
3180,15801,3229,Chandelier,15801.0,3229.0
3183,15889,3227,Micro/PVM,15889.0,3227.0
3184,15410,3232,VIP,15410.0,3232.0
3187,16842,3236,LAMP5 LHX6,16842.0,3236.0
3223,17954,3266,OPC,17954.0,3266.0
3229,16009,3269,Oligo,16009.0,3269.0
3232,16114,3272,Oligo,16114.0,3272.0
3233,18119,3272,Oligo,18119.0,3272.0
3237,15100,3277,Oligo,15100.0,3277.0
3240,18615,3279,Oligo,18615.0,3279.0
3241,15352,3281,Oligo,15352.0,3281.0
3251,17311,3289,Oligo,17311.0,3289.0
3262,18592,3303,Oligo,18592.0,3303.0
3264,17163,3305,Micro/PVM,17163.0,3305.0
3271,18034,3314,Oligo,18034.0,3314.0
3277,18694,3317,Oligo,18694.0,3317.0
3284,16635,3322,Astro,16635.0,3322.0
3288,15161,3327,Oligo,15161.0,3327.0
3297,17803,3334,Oligo,17803.0,3334.0
