,x,y,celltype_F,rotated_x,rotated_y
885,20615,2073,Micro/PVM,20615.0,2073.0
892,20070,2079,Astro,20070.0,2079.0
902,22714,2098,Oligo,22714.0,2098.0
904,20407,2099,LAMP5,20407.0,2099.0
905,21774,2098,LAMP5,21774.0,2098.0
915,22684,2115,PAX6,22684.0,2115.0
918,20371,2113,LAMP5,20371.0,2113.0
945,20112,2154,Oligo,20112.0,2154.0
948,21214,2160,L2/3 IT,21214.0,2160.0
951,21032,2161,Oligo,21032.0,2161.0
953,20593,2163,L2/3 IT,20593.0,2163.0
973,20798,2203,Astro,20798.0,2203.0
974,22788,2200,LAMP5,22788.0,2200.0
981,20533,2210,Astro,20533.0,2210.0
982,20760,2212,Oligo,20760.0,2212.0
986,20164,2224,PAX6,20164.0,2224.0
989,22406,2227,L2/3 IT,22406.0,2227.0
990,23558,2227,Astro,23558.0,2227.0
999,20480,2239,L2/3 IT,20480.0,2239.0
1003,22508,2246,Endo,22508.0,2246.0
1009,23466,2257,Astro,23466.0,2257.0
1017,21540,2266,L2/3 IT,21540.0,2266.0
1033,21733,2280,Oligo,21733.0,2280.0
1043,22643,2295,L2/3 IT,22643.0,2295.0
1057,23427,2308,Astro,23427.0,2308.0
1060,20822,2315,Oligo,20822.0,2315.0
1064,21264,2322,Astro,21264.0,2322.0
1071,21034,2329,L2/3 IT,21034.0,2329.0
1080,23186,2339,L2/3 IT,23186.0,2339.0
1145,23016,2404,Astro,23016.0,2404.0
1166,20155,2434,OPC,20155.0,2434.0
1173,23128,2449,Astro,23128.0,2449.0
1182,21773,2457,Astro,21773.0,2457.0
1188,21421,2461,PAX6,21421.0,2461.0
1196,23660,2468,Astro,23660.0,2468.0
1210,21743,2487,Astro,21743.0,2487.0
1213,22179,2488,Oligo,22179.0,2488.0
1216,23768,2490,Astro,23768.0,2490.0
1222,23607,2497,Astro,23607.0,2497.0
1236,21779,2511,PAX6,21779.0,2511.0
1237,23723,2513,Oligo,23723.0,2513.0
1246,23746,2533,LAMP5,23746.0,2533.0
1250,22177,2534,LAMP5,22177.0,2534.0
1251,20023,2536,L2/3 IT,20023.0,2536.0
1255,23308,2539,Oligo,23308.0,2539.0
1265,23355,2550,Oligo,23355.0,2550.0
1267,23668,2551,Astro,23668.0,2551.0
1276,22119,2562,Astro,22119.0,2562.0
1277,22429,2558,LAMP5,22429.0,2558.0
1294,23444,2576,Astro,23444.0,2576.0
1298,23767,2582,Oligo,23767.0,2582.0
1300,22700,2585,Oligo,22700.0,2585.0
1310,20031,2594,L2/3 IT,20031.0,2594.0
1323,21577,2619,Astro,21577.0,2619.0
1328,22531,2626,Astro,22531.0,2626.0
