,x,y,celltype_F,rotated_x,rotated_y
10789,4080,6000,L2/3 IT,3999.999999999999,14080.0
10790,4763,6000,VIP,3999.999999999999,14763.0
10791,18651,6000,L5/6 NP,3999.9999999999964,28651.0
10792,20371,6000,L5 IT,3999.9999999999964,30371.0
10793,1492,6001,L2/3 IT,3998.9999999999995,11492.0
10794,4287,6001,L4 IT,3998.999999999999,14287.0
10795,8925,6002,Oligo,3997.999999999998,18925.0
10796,18053,6001,Chandelier,3998.999999999997,28053.0
10797,19601,6002,L6 IT Car3,3997.9999999999964,29601.0
10798,21375,6001,Oligo,3998.999999999996,31375.0
10799,713,6004,L2/3 IT,3996.0,10713.0
10800,25677,6005,L6 IT,3994.9999999999955,35677.0
10802,20583,6008,SNCG,3991.9999999999964,30583.0
10803,2442,6009,L2/3 IT,3990.9999999999995,12442.0
10804,21417,6008,L6 IT,3991.999999999996,31417.0
10805,27181,6010,Astro,3989.999999999995,37181.0
10806,27819,6009,L6 IT,3990.999999999995,37819.0
10807,1294,6011,L2/3 IT,3988.9999999999995,11294.0
10808,12769,6010,Chandelier,3989.9999999999977,22769.0
10809,13507,6010,Micro/PVM,3989.9999999999977,23507.0
10810,10528,6012,L2/3 IT,3987.999999999998,20528.0
10811,19431,6012,L6 IT,3987.9999999999964,29431.0
10812,23565,6011,L5 IT,3988.9999999999955,33565.0
10813,26879,6012,Astro,3987.999999999995,36879.0
10814,12068,6013,L4 IT,3986.9999999999977,22068.0
10815,13798,6014,Astro,3985.9999999999973,23798.0
10816,15874,6012,Astro,3987.9999999999973,25874.0
10817,6888,6015,L2/3 IT,3984.9999999999986,16888.0
10818,11884,6014,Astro,3985.9999999999977,21884.0
10819,19127,6016,L6 IT,3983.9999999999964,29127.0
10820,11678,6018,L4 IT,3981.9999999999977,21678.0
10821,25628,6018,Oligo,3981.9999999999955,35628.0
10824,7658,6020,OPC,3979.9999999999986,17658.0
10825,18214,6022,SST,3977.999999999997,28214.0
10828,21983,6023,L6 CT,3976.999999999996,31983.0
10829,25198,6022,Micro/PVM,3977.9999999999955,35198.0
10830,27751,6023,L2/3 IT,3976.999999999995,37751.0
10831,24283,6024,L6 CT,3975.9999999999955,34283.0
10832,26046,6025,L6 CT,3974.999999999995,36046.0
10834,1956,6026,L2/3 IT,3973.9999999999995,11956.0
10835,9163,6026,OPC,3973.999999999998,19163.0
10836,24164,6027,L6 CT,3972.9999999999955,34164.0
10839,24373,6028,Astro,3971.9999999999955,34373.0
10840,5727,6031,L2/3 IT,3968.999999999999,15727.0
10841,8008,6029,L2/3 IT,3970.9999999999986,18008.0
10842,14157,6029,L5 IT,3970.9999999999973,24157.0
10843,19175,6029,L6 IT Car3,3970.9999999999964,29175.0
10846,1825,6031,LAMP5,3968.9999999999995,11825.0
10847,17853,6031,L6 CT,3968.999999999997,27853.0
10848,17884,6031,Micro/PVM,3968.999999999997,27884.0
10849,19331,6032,L6 IT,3967.9999999999964,29331.0
10850,24648,6032,Astro,3967.9999999999955,34648.0
10853,13192,6033,L5 IT,3966.9999999999977,23192.0
10854,14689,6034,PVALB,3965.9999999999973,24689.0
10855,21567,6033,L5 IT,3966.999999999996,31567.0
10856,22049,6033,L6 CT,3966.999999999996,32049.0
10857,24027,6032,L6 CT,3967.9999999999955,34027.0
10859,3397,6037,L4 IT,3962.9999999999995,13397.0
10860,9132,6036,OPC,3963.999999999998,19132.0
10861,15353,6036,Micro/PVM,3963.9999999999973,25353.0
10862,9943,6038,L6 IT Car3,3961.999999999998,19943.0
10863,14788,6039,L6 IT Car3,3960.9999999999973,24788.0
10864,25114,6038,L2/3 IT,3961.9999999999955,35114.0
10865,27165,6038,L6 CT,3961.999999999995,37165.0
10866,13215,6039,L5 IT,3960.9999999999977,23215.0
10867,19389,6042,L6 CT,3957.9999999999964,29389.0
10868,20201,6042,L5 IT,3957.9999999999964,30201.0
10869,24307,6041,Oligo,3958.9999999999955,34307.0
10872,6598,6045,OPC,3954.9999999999986,16598.0
10874,16555,6045,Astro,3954.999999999997,26555.0
10875,23539,6048,Micro/PVM,3951.9999999999955,33539.0
10877,19063,6049,Oligo,3950.9999999999964,29063.0
10878,19973,6050,L2/3 IT,3949.9999999999964,29973.0
10880,2217,6051,L6B,3948.9999999999995,12217.0
10881,8680,6050,L2/3 IT,3949.999999999998,18680.0
10882,15982,6050,L6 CT,3949.9999999999973,25982.0
10883,17104,6051,Astro,3948.999999999997,27104.0
10884,12144,6053,L4 IT,3946.9999999999977,22144.0
10885,2926,6054,L2/3 IT,3945.9999999999995,12926.0
10886,7040,6054,L2/3 IT,3945.9999999999986,17040.0
10887,23165,6053,Astro,3946.999999999996,33165.0
10891,4680,6057,L2/3 IT,3942.999999999999,14680.0
10892,8176,6057,Oligo,3942.9999999999986,18176.0
10893,5963,6059,L4 IT,3940.999999999999,15963.0
10894,26295,6060,L6B,3939.999999999995,36295.0
10895,8097,6061,Oligo,3938.9999999999986,18097.0
10896,22120,6061,Astro,3938.999999999996,32120.0
10899,4546,6063,L4 IT,3936.999999999999,14546.0
10900,19328,6064,L6 IT Car3,3935.9999999999964,29328.0
10901,20519,6062,L5/6 NP,3937.9999999999964,30519.0
10902,21015,6062,L6B,3937.9999999999964,31015.0
10903,24300,6064,Oligo,3935.9999999999955,34300.0
10904,24909,6063,L5 IT,3936.9999999999955,34909.0
10906,12730,6065,L4 IT,3934.9999999999977,22730.0
10907,13042,6066,L2/3 IT,3933.9999999999977,23042.0
10908,21638,6064,L6 CT,3935.999999999996,31638.0
10909,24537,6063,Astro,3936.9999999999955,34537.0
10912,6621,6067,L4 IT,3932.9999999999986,16621.0
10913,11687,6068,L2/3 IT,3931.9999999999977,21687.0
10914,17383,6068,Astro,3931.999999999997,27383.0
10915,27095,6067,L6B,3932.999999999995,37095.0
10917,1563,6069,Chandelier,3930.9999999999995,11563.0
10918,6346,6069,Micro/PVM,3930.9999999999986,16346.0
10919,18449,6069,Astro,3930.999999999997,28449.0
10920,4099,6070,Astro,3929.999999999999,14099.0
10922,2334,6074,L2/3 IT,3925.9999999999995,12334.0
10923,6156,6074,Micro/PVM,3925.999999999999,16156.0
10924,10749,6074,L4 IT,3925.999999999998,20749.0
10926,27484,6077,Oligo,3922.999999999995,37484.0
10927,2012,6077,L2/3 IT,3922.9999999999995,12012.0
10928,13083,6077,Astro,3922.9999999999977,23083.0
10929,20889,6077,L6 IT,3922.9999999999964,30889.0
10930,21164,6077,L5 IT,3922.999999999996,31164.0
10931,24548,6078,L5 IT,3921.9999999999955,34548.0
10932,7645,6078,Astro,3921.9999999999986,17645.0
