cell_label,x,y,celltype_F,celltype_F_class,area
1,26217,56,Oligo,Non-neuronal,A1C
2,26772,57,L6 IT Car3,Excitatory,A1C
4,26932,69,Oligo,Non-neuronal,A1C
5,26362,71,Oligo,Non-neuronal,A1C
10,25464,87,Micro/PVM,Non-neuronal,A1C
14,25681,93,SST,Inhibitory,A1C
15,25266,94,Endo,Non-neuronal,A1C
16,25320,92,VLMC,Non-neuronal,A1C
19,25421,109,L6 CT,Excitatory,A1C
20,26297,108,L6 IT Car3,Excitatory,A1C
26,26639,134,Oligo,Non-neuronal,A1C
28,26520,136,L6 IT,Excitatory,A1C
33,22777,152,Oligo,Non-neuronal,A1C
39,23141,165,Oligo,Non-neuronal,A1C
40,23752,168,Oligo,Non-neuronal,A1C
43,23221,171,Oligo,Non-neuronal,A1C
44,26400,171,L6 IT,Excitatory,A1C
48,25939,174,Oligo,Non-neuronal,A1C
49,22938,176,Oligo,Non-neuronal,A1C
50,26030,177,L6B,Excitatory,A1C
51,22724,187,L6B,Excitatory,A1C
52,25993,188,Oligo,Non-neuronal,A1C
53,22266,190,OPC,Non-neuronal,A1C
54,22807,194,Oligo,Non-neuronal,A1C
55,24529,194,Oligo,Non-neuronal,A1C
57,23467,197,Oligo,Non-neuronal,A1C
58,25680,196,Astro,Non-neuronal,A1C
61,24314,198,Oligo,Non-neuronal,A1C
62,22646,200,Oligo,Non-neuronal,A1C
63,26943,200,Astro,Non-neuronal,A1C
64,25294,202,Astro,Non-neuronal,A1C
69,25327,206,Oligo,Non-neuronal,A1C
70,26425,205,Oligo,Non-neuronal,A1C
74,25486,210,Oligo,Non-neuronal,A1C
75,21798,215,Oligo,Non-neuronal,A1C
76,22505,214,Oligo,Non-neuronal,A1C
82,24455,220,OPC,Non-neuronal,A1C
84,23639,223,Oligo,Non-neuronal,A1C
87,22198,226,Oligo,Non-neuronal,A1C
88,23102,227,L6B,Excitatory,A1C
90,24482,232,Oligo,Non-neuronal,A1C
92,25257,233,L6 CT,Excitatory,A1C
95,26129,235,Oligo,Non-neuronal,A1C
97,21622,238,Oligo,Non-neuronal,A1C
99,23475,237,Astro,Non-neuronal,A1C
102,20901,244,Astro,Non-neuronal,A1C
103,21589,246,Oligo,Non-neuronal,A1C
104,21697,246,Micro/PVM,Non-neuronal,A1C
108,24420,249,L6 IT Car3,Excitatory,A1C
110,20958,252,Oligo,Non-neuronal,A1C
111,22032,253,Oligo,Non-neuronal,A1C
112,24966,251,Oligo,Non-neuronal,A1C
114,16947,259,Oligo,Non-neuronal,A1C
115,17436,256,Oligo,Non-neuronal,A1C
117,19755,256,Oligo,Non-neuronal,A1C
120,18950,258,Oligo,Non-neuronal,A1C
121,22413,258,Oligo,Non-neuronal,A1C
122,24887,259,L6 IT,Excitatory,A1C
123,18250,261,Micro/PVM,Non-neuronal,A1C
125,22442,262,Oligo,Non-neuronal,A1C
127,19802,261,Oligo,Non-neuronal,A1C
130,21025,265,OPC,Non-neuronal,A1C
131,24843,264,Astro,Non-neuronal,A1C
134,25963,267,Oligo,Non-neuronal,A1C
139,18079,272,Astro,Non-neuronal,A1C
142,17614,274,Oligo,Non-neuronal,A1C
151,17750,275,Oligo,Non-neuronal,A1C
157,19110,283,Oligo,Non-neuronal,A1C
159,21656,282,Astro,Non-neuronal,A1C
160,17214,284,Oligo,Non-neuronal,A1C
162,24623,283,SNCG,Inhibitory,A1C
