cell_label,x,y,celltype_F,celltype_F_class,area
2,6914,60,Oligo,Non-neuronal,ACC
3,15024,70,L6B,Excitatory,ACC
6,16269,73,Oligo,Non-neuronal,ACC
12,17301,81,L5 IT,Excitatory,ACC
13,17253,84,Oligo,Non-neuronal,ACC
15,18769,88,L2/3 IT,Excitatory,ACC
17,5744,91,Oligo,Non-neuronal,ACC
20,16860,95,Oligo,Non-neuronal,ACC
24,18868,96,L2/3 IT,Excitatory,ACC
27,20670,103,Micro/PVM,Non-neuronal,ACC
29,17125,106,L6 CT,Excitatory,ACC
32,20622,108,L5 IT,Excitatory,ACC
34,21777,107,Micro/PVM,Non-neuronal,ACC
37,20178,107,L5 IT,Excitatory,ACC
38,20573,109,L5 ET,Excitatory,ACC
41,14770,114,Micro/PVM,Non-neuronal,ACC
45,5714,120,Oligo,Non-neuronal,ACC
48,4786,123,Oligo,Non-neuronal,ACC
49,7998,123,Oligo,Non-neuronal,ACC
51,6427,127,Oligo,Non-neuronal,ACC
53,19563,128,Micro/PVM,Non-neuronal,ACC
54,22774,125,L2/3 IT,Excitatory,ACC
56,17285,128,Chandelier,Inhibitory,ACC
62,16930,131,Astro,Non-neuronal,ACC
63,8285,133,Oligo,Non-neuronal,ACC
65,16396,133,Astro,Non-neuronal,ACC
66,23168,133,Astro,Non-neuronal,ACC
67,5134,134,Oligo,Non-neuronal,ACC
68,17374,136,Astro,Non-neuronal,ACC
69,19000,135,VLMC,Non-neuronal,ACC
71,18789,139,Micro/PVM,Non-neuronal,ACC
73,9071,142,Oligo,Non-neuronal,ACC
76,23901,141,Astro,Non-neuronal,ACC
77,4478,143,Oligo,Non-neuronal,ACC
78,9785,145,Oligo,Non-neuronal,ACC
80,17079,144,Astro,Non-neuronal,ACC
82,20297,143,Micro/PVM,Non-neuronal,ACC
84,19193,147,Oligo,Non-neuronal,ACC
86,17511,149,Astro,Non-neuronal,ACC
88,8498,153,Oligo,Non-neuronal,ACC
89,13644,153,Oligo,Non-neuronal,ACC
92,19420,155,PVALB,Inhibitory,ACC
95,22365,156,L2/3 IT,Excitatory,ACC
96,23858,155,VIP,Inhibitory,ACC
98,19352,160,Oligo,Non-neuronal,ACC
100,5742,163,Oligo,Non-neuronal,ACC
101,6062,163,Oligo,Non-neuronal,ACC
102,6296,165,Oligo,Non-neuronal,ACC
103,17160,164,L6 IT,Excitatory,ACC
104,19296,169,Oligo,Non-neuronal,ACC
105,23491,165,SST,Inhibitory,ACC
106,8255,169,Oligo,Non-neuronal,ACC
107,20287,170,Micro/PVM,Non-neuronal,ACC
108,5027,173,Oligo,Non-neuronal,ACC
110,20698,172,VLMC,Non-neuronal,ACC
111,23799,172,Astro,Non-neuronal,ACC
112,4818,174,Oligo,Non-neuronal,ACC
114,20234,173,L5 ET,Excitatory,ACC
117,20215,178,L2/3 IT,Excitatory,ACC
121,8309,179,Oligo,Non-neuronal,ACC
122,9058,179,Oligo,Non-neuronal,ACC
124,20174,181,VIP,Inhibitory,ACC
129,10936,184,Astro,Non-neuronal,ACC
131,20148,185,Oligo,Non-neuronal,ACC
132,3538,187,Oligo,Non-neuronal,ACC
142,17183,194,Oligo,Non-neuronal,ACC
143,19209,196,VIP,Inhibitory,ACC
145,8019,197,Oligo,Non-neuronal,ACC
148,20850,200,L4 IT,Excitatory,ACC
150,5168,201,Oligo,Non-neuronal,ACC
154,4878,210,Micro/PVM,Non-neuronal,ACC
156,21256,209,Astro,Non-neuronal,ACC
158,9909,211,Oligo,Non-neuronal,ACC
159,17581,211,Micro/PVM,Non-neuronal,ACC
160,6188,213,Micro/PVM,Non-neuronal,ACC
163,7050,217,Oligo,Non-neuronal,ACC
165,20175,217,SST,Inhibitory,ACC
167,8901,219,Oligo,Non-neuronal,ACC
169,22941,220,Astro,Non-neuronal,ACC
173,6905,219,Oligo,Non-neuronal,ACC
174,9985,222,Oligo,Non-neuronal,ACC
