cell_label,x,y,celltype_F,celltype_F_class,area
5,6972,13,SNCG,Inhibitory,AnG
13,8013,54,SNCG,Inhibitory,AnG
16,5151,64,L2/3 IT,Excitatory,AnG
23,6267,86,Astro,Non-neuronal,AnG
25,6933,90,Astro,Non-neuronal,AnG
26,6234,96,Oligo,Non-neuronal,AnG
27,7492,99,L2/3 IT,Excitatory,AnG
28,5631,109,Astro,Non-neuronal,AnG
40,6372,167,Astro,Non-neuronal,AnG
50,7318,202,Oligo,Non-neuronal,AnG
51,5971,211,Astro,Non-neuronal,AnG
52,6752,205,Astro,Non-neuronal,AnG
54,5937,218,Astro,Non-neuronal,AnG
56,8115,222,Astro,Non-neuronal,AnG
60,8814,228,Oligo,Non-neuronal,AnG
64,7045,249,Micro/PVM,Non-neuronal,AnG
65,6379,259,Astro,Non-neuronal,AnG
67,6193,267,PVALB,Inhibitory,AnG
68,6996,268,Astro,Non-neuronal,AnG
69,6697,287,OPC,Non-neuronal,AnG
70,6288,292,L2/3 IT,Excitatory,AnG
75,9259,303,L2/3 IT,Excitatory,AnG
78,8474,322,Micro/PVM,Non-neuronal,AnG
79,7499,323,L2/3 IT,Excitatory,AnG
88,5605,342,Micro/PVM,Non-neuronal,AnG
90,8154,349,OPC,Non-neuronal,AnG
91,5803,352,Oligo,Non-neuronal,AnG
95,7577,364,Astro,Non-neuronal,AnG
99,6272,366,Oligo,Non-neuronal,AnG
104,9552,374,Astro,Non-neuronal,AnG
105,5850,375,LAMP5,Inhibitory,AnG
106,5746,377,L2/3 IT,Excitatory,AnG
111,7945,395,Astro,Non-neuronal,AnG
118,7046,414,Astro,Non-neuronal,AnG
120,7989,416,Astro,Non-neuronal,AnG
121,6164,421,Astro,Non-neuronal,AnG
132,7529,439,L2/3 IT,Excitatory,AnG
143,6204,461,Astro,Non-neuronal,AnG
144,6886,461,PAX6,Inhibitory,AnG
148,7793,467,Oligo,Non-neuronal,AnG
154,7462,477,L2/3 IT,Excitatory,AnG
155,8689,476,Astro,Non-neuronal,AnG
157,6270,481,L2/3 IT,Excitatory,AnG
169,5656,507,Astro,Non-neuronal,AnG
170,6232,508,Oligo,Non-neuronal,AnG
173,5535,519,L2/3 IT,Excitatory,AnG
179,5757,523,Astro,Non-neuronal,AnG
186,7633,541,L2/3 IT,Excitatory,AnG
187,8441,539,Oligo,Non-neuronal,AnG
190,8187,551,L5 IT,Excitatory,AnG
192,7068,566,Oligo,Non-neuronal,AnG
193,8740,567,L2/3 IT,Excitatory,AnG
194,6238,567,L2/3 IT,Excitatory,AnG
198,8833,576,Oligo,Non-neuronal,AnG
202,8621,583,Micro/PVM,Non-neuronal,AnG
210,5303,602,OPC,Non-neuronal,AnG
212,5746,607,Micro/PVM,Non-neuronal,AnG
215,8605,611,Astro,Non-neuronal,AnG
216,5555,612,VIP,Inhibitory,AnG
220,8199,618,Micro/PVM,Non-neuronal,AnG
225,5203,622,L5 IT,Excitatory,AnG
231,8727,631,Oligo,Non-neuronal,AnG
233,9070,633,L2/3 IT,Excitatory,AnG
