cell_label,x,y,celltype_F,celltype_F_class,area
1,4436.0,18.0,SST,Inhibitory,DFC
2,4411.0,14.0,Micro/PVM,Non-neuronal,DFC
3,4690.0,18.0,L5 IT,Excitatory,DFC
4,4995.0,15.0,SST,Inhibitory,DFC
6,5651.0,16.0,L6 IT,Excitatory,DFC
9,6241.0,9.0,Oligo,Non-neuronal,DFC
11,3943.0,15.0,Oligo,Non-neuronal,DFC
12,6347.0,15.0,Oligo,Non-neuronal,DFC
15,3910.0,23.0,L5 IT,Excitatory,DFC
16,4665.0,34.0,Oligo,Non-neuronal,DFC
17,5019.0,29.0,SST,Inhibitory,DFC
18,4364.0,31.0,Oligo,Non-neuronal,DFC
19,4949.0,26.0,Oligo,Non-neuronal,DFC
21,4550.0,45.0,Astro,Non-neuronal,DFC
22,6473.0,46.0,LAMP5 LHX6,Inhibitory,DFC
23,6366.0,39.0,Oligo,Non-neuronal,DFC
25,4329.0,38.0,Oligo,Non-neuronal,DFC
29,6087.0,58.0,Astro,Non-neuronal,DFC
30,4209.0,55.0,L4 IT,Excitatory,DFC
32,5080.0,56.0,L5 IT,Excitatory,DFC
34,6865.0,57.0,Astro,Non-neuronal,DFC
35,4342.0,51.0,OPC,Non-neuronal,DFC
36,6598.0,62.0,Micro/PVM,Non-neuronal,DFC
37,5551.0,61.0,L5 IT,Excitatory,DFC
38,6892.0,68.0,L5/6 NP,Excitatory,DFC
39,5197.0,64.0,Oligo,Non-neuronal,DFC
40,5382.0,65.0,L5 IT,Excitatory,DFC
41,4261.0,53.0,Oligo,Non-neuronal,DFC
45,5285.0,70.0,L6 IT Car3,Excitatory,DFC
47,7030.0,79.0,Oligo,Non-neuronal,DFC
53,6791.0,95.0,VIP,Inhibitory,DFC
55,5933.0,96.0,L6 IT Car3,Excitatory,DFC
60,4144.0,107.0,L4 IT,Excitatory,DFC
62,5843.0,103.0,Oligo,Non-neuronal,DFC
63,3820.0,96.0,L5 IT,Excitatory,DFC
64,4098.0,115.0,Oligo,Non-neuronal,DFC
66,6986.0,106.0,Oligo,Non-neuronal,DFC
68,5653.0,119.0,Oligo,Non-neuronal,DFC
69,4857.0,135.0,VIP,Inhibitory,DFC
71,4904.0,127.0,L4 IT,Excitatory,DFC
73,4190.0,127.0,Oligo,Non-neuronal,DFC
75,6499.0,138.0,OPC,Non-neuronal,DFC
78,6474.0,146.0,Oligo,Non-neuronal,DFC
79,3716.0,124.0,SST,Inhibitory,DFC
80,4223.0,139.0,Oligo,Non-neuronal,DFC
84,3780.0,146.0,Oligo,Non-neuronal,DFC
85,5832.0,156.0,L6 IT,Excitatory,DFC
88,6774.0,158.0,Oligo,Non-neuronal,DFC
89,4462.0,157.0,L2/3 IT,Excitatory,DFC
90,6741.0,151.0,Oligo,Non-neuronal,DFC
91,5878.0,160.0,Oligo,Non-neuronal,DFC
94,4499.0,166.0,Oligo,Non-neuronal,DFC
96,5929.0,164.0,Oligo,Non-neuronal,DFC
99,4830.0,172.0,L6 IT,Excitatory,DFC
102,3907.0,189.0,PVALB,Inhibitory,DFC
103,5607.0,206.0,SST,Inhibitory,DFC
106,3715.0,202.0,Oligo,Non-neuronal,DFC
108,5885.0,212.0,Oligo,Non-neuronal,DFC
109,6644.0,225.0,Oligo,Non-neuronal,DFC
110,4796.0,222.0,Micro/PVM,Non-neuronal,DFC
111,3790.0,230.0,L4 IT,Excitatory,DFC
112,4849.0,227.0,L4 IT,Excitatory,DFC
119,4226.0,238.0,Micro/PVM,Non-neuronal,DFC
120,3764.0,259.0,Oligo,Non-neuronal,DFC
121,4497.0,254.0,Oligo,Non-neuronal,DFC
122,5729.0,259.0,Oligo,Non-neuronal,DFC
123,5758.0,259.0,Oligo,Non-neuronal,DFC
124,4034.0,266.0,L5 IT,Excitatory,DFC
127,4747.0,264.0,L6 IT Car3,Excitatory,DFC
130,5210.0,262.0,Oligo,Non-neuronal,DFC
131,6276.0,265.0,OPC,Non-neuronal,DFC
132,6863.0,271.0,Astro,Non-neuronal,DFC
133,3667.0,265.0,PVALB,Inhibitory,DFC
134,3711.0,272.0,L6 CT,Excitatory,DFC
135,4567.0,278.0,Oligo,Non-neuronal,DFC
136,5610.0,282.0,Oligo,Non-neuronal,DFC
137,4540.0,283.0,Micro/PVM,Non-neuronal,DFC
140,6225.0,285.0,Oligo,Non-neuronal,DFC
144,6296.0,292.0,L6 CT,Excitatory,DFC
146,6966.0,289.0,Oligo,Non-neuronal,DFC
148,5060.0,297.0,Astro,Non-neuronal,DFC
150,5154.0,306.0,Micro/PVM,Non-neuronal,DFC
152,6707.0,301.0,Oligo,Non-neuronal,DFC
153,5532.0,322.0,L5/6 NP,Excitatory,DFC
157,4117.0,338.0,Oligo,Non-neuronal,DFC
158,5700.0,348.0,L6 IT Car3,Excitatory,DFC
159,6205.0,323.0,L6 CT,Excitatory,DFC
160,6837.0,348.0,Micro/PVM,Non-neuronal,DFC
161,4735.0,342.0,Astro,Non-neuronal,DFC
162,3706.0,359.0,L5/6 NP,Excitatory,DFC
163,5010.0,360.0,L5 IT,Excitatory,DFC
164,5460.0,344.0,Oligo,Non-neuronal,DFC
165,6602.0,356.0,Oligo,Non-neuronal,DFC
166,5128.0,363.0,SST,Inhibitory,DFC
167,5923.0,360.0,PVALB,Inhibitory,DFC
170,6004.0,363.0,VIP,Inhibitory,DFC
171,4780.0,359.0,L5 IT,Excitatory,DFC
172,4859.0,361.0,Astro,Non-neuronal,DFC
174,5198.0,359.0,Oligo,Non-neuronal,DFC
176,5983.0,372.0,L4 IT,Excitatory,DFC
178,5170.0,361.0,L4 IT,Excitatory,DFC
180,6602.0,378.0,Oligo,Non-neuronal,DFC
184,6141.0,379.0,Oligo,Non-neuronal,DFC
185,5058.0,398.0,Micro/PVM,Non-neuronal,DFC
186,5808.0,402.0,L6 IT,Excitatory,DFC
187,4876.0,404.0,L6 CT,Excitatory,DFC
189,3707.0,418.0,L5 IT,Excitatory,DFC
191,3970.0,412.0,Oligo,Non-neuronal,DFC
192,4438.0,415.0,L6 IT,Excitatory,DFC
194,4392.0,415.0,L5 IT,Excitatory,DFC
195,5930.0,430.0,Oligo,Non-neuronal,DFC
197,4353.0,422.0,Micro/PVM,Non-neuronal,DFC
206,4479.0,434.0,Oligo,Non-neuronal,DFC
210,5899.0,454.0,Micro/PVM,Non-neuronal,DFC
