cell_label,x,y,celltype_F,celltype_F_class,area
4,7942,324,VIP,Inhibitory,FI
5,7389,340,Astro,Non-neuronal,FI
7,9883,348,Oligo,Non-neuronal,FI
8,10285,348,Astro,Non-neuronal,FI
9,10999,362,VIP,Inhibitory,FI
13,9395,397,Astro,Non-neuronal,FI
16,7528,412,Astro,Non-neuronal,FI
17,7921,416,Astro,Non-neuronal,FI
19,6670,424,Astro,Non-neuronal,FI
20,10786,423,Astro,Non-neuronal,FI
22,11027,429,L2/3 IT,Excitatory,FI
24,8328,425,Astro,Non-neuronal,FI
25,8712,443,Astro,Non-neuronal,FI
26,6239,443,Astro,Non-neuronal,FI
28,7677,452,Astro,Non-neuronal,FI
29,6603,463,OPC,Non-neuronal,FI
37,7694,490,LAMP5,Inhibitory,FI
39,8968,501,LAMP5,Inhibitory,FI
40,6161,508,Astro,Non-neuronal,FI
41,8336,520,Oligo,Non-neuronal,FI
48,11937,532,Oligo,Non-neuronal,FI
51,9664,548,Micro/PVM,Non-neuronal,FI
52,9108,551,VLMC,Non-neuronal,FI
54,7040,566,VLMC,Non-neuronal,FI
55,9215,570,Micro/PVM,Non-neuronal,FI
56,5113,578,L2/3 IT,Excitatory,FI
58,12228,580,Astro,Non-neuronal,FI
59,9477,590,Astro,Non-neuronal,FI
60,6945,592,Astro,Non-neuronal,FI
66,5598,625,Oligo,Non-neuronal,FI
69,8356,632,Oligo,Non-neuronal,FI
73,8889,640,LAMP5,Inhibitory,FI
74,8952,640,L2/3 IT,Excitatory,FI
75,11330,641,SNCG,Inhibitory,FI
77,8928,652,SNCG,Inhibitory,FI
78,7262,658,Micro/PVM,Non-neuronal,FI
80,12207,661,L2/3 IT,Excitatory,FI
81,6101,667,Micro/PVM,Non-neuronal,FI
83,12235,669,Micro/PVM,Non-neuronal,FI
84,12032,671,VIP,Inhibitory,FI
85,7522,680,Micro/PVM,Non-neuronal,FI
86,10099,678,LAMP5,Inhibitory,FI
87,10143,681,Astro,Non-neuronal,FI
88,6367,685,Oligo,Non-neuronal,FI
91,5353,702,Astro,Non-neuronal,FI
92,8168,712,Astro,Non-neuronal,FI
94,12047,724,Astro,Non-neuronal,FI
95,11055,724,L2/3 IT,Excitatory,FI
99,6657,730,LAMP5,Inhibitory,FI
100,5919,735,L2/3 IT,Excitatory,FI
101,5956,735,Astro,Non-neuronal,FI
102,6802,736,Oligo,Non-neuronal,FI
103,6724,739,Astro,Non-neuronal,FI
104,10144,750,Oligo,Non-neuronal,FI
106,7925,756,Astro,Non-neuronal,FI
107,5571,762,Astro,Non-neuronal,FI
111,11623,801,Astro,Non-neuronal,FI
113,10407,820,LAMP5,Inhibitory,FI
114,5511,823,Micro/PVM,Non-neuronal,FI
117,11594,831,Astro,Non-neuronal,FI
119,10662,834,Astro,Non-neuronal,FI
120,4961,837,Astro,Non-neuronal,FI
122,12263,842,Micro/PVM,Non-neuronal,FI
123,10339,852,Astro,Non-neuronal,FI
124,10412,860,OPC,Non-neuronal,FI
125,6989,858,Micro/PVM,Non-neuronal,FI
126,7599,864,SNCG,Inhibitory,FI
128,7863,866,Astro,Non-neuronal,FI
129,9530,864,SNCG,Inhibitory,FI
131,11011,867,Astro,Non-neuronal,FI
132,12134,872,Micro/PVM,Non-neuronal,FI
134,5187,878,Oligo,Non-neuronal,FI
135,8923,881,Micro/PVM,Non-neuronal,FI
141,5207,916,LAMP5,Inhibitory,FI
142,9296,920,Astro,Non-neuronal,FI
143,8334,926,PAX6,Inhibitory,FI
144,8401,933,L2/3 IT,Excitatory,FI
146,6915,934,Astro,Non-neuronal,FI
147,12677,935,OPC,Non-neuronal,FI
148,5073,936,Oligo,Non-neuronal,FI
149,9266,938,Micro/PVM,Non-neuronal,FI
151,12902,944,Astro,Non-neuronal,FI
152,5903,945,Astro,Non-neuronal,FI
157,9815,957,LAMP5,Inhibitory,FI
158,12754,966,Astro,Non-neuronal,FI
159,13838,969,L2/3 IT,Excitatory,FI
160,12965,975,Micro/PVM,Non-neuronal,FI
161,5559,978,L2/3 IT,Excitatory,FI
163,7031,980,LAMP5,Inhibitory,FI
164,13404,981,L2/3 IT,Excitatory,FI
165,10975,997,Astro,Non-neuronal,FI
166,6676,1006,Micro/PVM,Non-neuronal,FI
167,12023,1005,SNCG,Inhibitory,FI
168,13227,1005,Astro,Non-neuronal,FI
169,8173,1006,VLMC,Non-neuronal,FI
170,13789,1007,L2/3 IT,Excitatory,FI
171,7401,1009,Oligo,Non-neuronal,FI
172,4038,1010,Astro,Non-neuronal,FI
174,13773,1011,L2/3 IT,Excitatory,FI
176,7707,1016,Micro/PVM,Non-neuronal,FI
181,12936,1033,L2/3 IT,Excitatory,FI
183,8298,1036,SNCG,Inhibitory,FI
186,9971,1042,Astro,Non-neuronal,FI
187,6169,1046,Astro,Non-neuronal,FI
189,13393,1048,VIP,Inhibitory,FI
191,6891,1064,OPC,Non-neuronal,FI
193,12476,1068,Astro,Non-neuronal,FI
194,14814,1067,L2/3 IT,Excitatory,FI
195,11681,1071,L2/3 IT,Excitatory,FI
199,6294,1077,Astro,Non-neuronal,FI
201,3780,1080,LAMP5,Inhibitory,FI
203,11313,1079,Astro,Non-neuronal,FI
204,11829,1079,L2/3 IT,Excitatory,FI
207,9527,1085,Astro,Non-neuronal,FI
209,5854,1090,LAMP5,Inhibitory,FI
210,7183,1093,Astro,Non-neuronal,FI
211,14654,1093,L2/3 IT,Excitatory,FI
213,9918,1104,Astro,Non-neuronal,FI
214,14197,1107,OPC,Non-neuronal,FI
215,10281,1109,Oligo,Non-neuronal,FI
216,12462,1108,L2/3 IT,Excitatory,FI
218,13613,1111,L2/3 IT,Excitatory,FI
219,11122,1114,SNCG,Inhibitory,FI
220,11984,1116,VIP,Inhibitory,FI
221,15382,1118,OPC,Non-neuronal,FI
222,10240,1121,SNCG,Inhibitory,FI
224,6890,1112,Astro,Non-neuronal,FI
228,13851,1135,L2/3 IT,Excitatory,FI
229,6011,1136,Astro,Non-neuronal,FI
231,4829,1142,Astro,Non-neuronal,FI
232,12671,1142,VIP,Inhibitory,FI
235,12601,1151,SNCG,Inhibitory,FI
236,13947,1153,Micro/PVM,Non-neuronal,FI
237,4382,1159,OPC,Non-neuronal,FI
238,8854,1159,Astro,Non-neuronal,FI
239,13396,1158,L2/3 IT,Excitatory,FI
241,13757,1162,Chandelier,Inhibitory,FI
242,12226,1168,L2/3 IT,Excitatory,FI
243,10959,1170,Oligo,Non-neuronal,FI
246,11833,1176,SNCG,Inhibitory,FI
247,6421,1179,SNCG,Inhibitory,FI
250,15731,1190,Oligo,Non-neuronal,FI
253,9389,1195,Astro,Non-neuronal,FI
256,8525,1200,Astro,Non-neuronal,FI
257,12034,1208,L6 IT,Excitatory,FI
258,10695,1210,Micro/PVM,Non-neuronal,FI
259,12163,1211,SNCG,Inhibitory,FI
260,13214,1211,L2/3 IT,Excitatory,FI
261,10615,1212,L2/3 IT,Excitatory,FI
265,12614,1225,Astro,Non-neuronal,FI
269,15528,1237,OPC,Non-neuronal,FI
270,10489,1239,Astro,Non-neuronal,FI
272,13015,1244,VIP,Inhibitory,FI
273,14074,1243,Astro,Non-neuronal,FI
274,8514,1246,Oligo,Non-neuronal,FI
276,13860,1251,L2/3 IT,Excitatory,FI
277,13423,1254,L2/3 IT,Excitatory,FI
278,11959,1257,L2/3 IT,Excitatory,FI
281,13033,1262,L2/3 IT,Excitatory,FI
282,13333,1262,VIP,Inhibitory,FI
283,10505,1264,Astro,Non-neuronal,FI
284,12587,1267,Astro,Non-neuronal,FI
285,4746,1269,Astro,Non-neuronal,FI
289,10871,1272,PAX6,Inhibitory,FI
290,14040,1272,L4 IT,Excitatory,FI
291,9057,1274,Micro/PVM,Non-neuronal,FI
292,11936,1274,Oligo,Non-neuronal,FI
294,11281,1275,Astro,Non-neuronal,FI
295,11996,1275,L2/3 IT,Excitatory,FI
296,11180,1277,Micro/PVM,Non-neuronal,FI
297,11835,1278,VIP,Inhibitory,FI
298,13146,1278,L2/3 IT,Excitatory,FI
301,15623,1283,Micro/PVM,Non-neuronal,FI
302,6819,1282,Micro/PVM,Non-neuronal,FI
303,7940,1284,LAMP5,Inhibitory,FI
304,12455,1286,L2/3 IT,Excitatory,FI
305,3955,1288,Astro,Non-neuronal,FI
306,6940,1289,OPC,Non-neuronal,FI
307,12265,1296,Micro/PVM,Non-neuronal,FI
308,11965,1297,L2/3 IT,Excitatory,FI
309,12848,1300,L2/3 IT,Excitatory,FI
310,15157,1299,L2/3 IT,Excitatory,FI
311,15690,1297,L2/3 IT,Excitatory,FI
312,14382,1303,L2/3 IT,Excitatory,FI
313,4102,1310,L2/3 IT,Excitatory,FI
314,6854,1309,Astro,Non-neuronal,FI
315,10701,1309,SNCG,Inhibitory,FI
316,15670,1309,L2/3 IT,Excitatory,FI
317,10189,1312,Oligo,Non-neuronal,FI
318,13163,1310,OPC,Non-neuronal,FI
320,8084,1313,VLMC,Non-neuronal,FI
321,10902,1316,PAX6,Inhibitory,FI
