cell_label,x,y,celltype_F,celltype_F_class,area
4,14090.0,37.0,Oligo,Non-neuronal,M1C
11,13807.0,37.0,Oligo,Non-neuronal,M1C
12,15187.0,38.0,Oligo,Non-neuronal,M1C
20,14764.0,83.0,Oligo,Non-neuronal,M1C
23,14227.0,86.0,Oligo,Non-neuronal,M1C
30,14078.0,98.0,Oligo,Non-neuronal,M1C
31,14811.0,87.0,Oligo,Non-neuronal,M1C
34,14729.0,96.0,Oligo,Non-neuronal,M1C
38,14022.0,103.0,Oligo,Non-neuronal,M1C
39,15188.0,94.0,L6 IT,Excitatory,M1C
40,15720.0,98.0,Oligo,Non-neuronal,M1C
41,14365.0,101.0,Oligo,Non-neuronal,M1C
43,15003.0,90.0,Oligo,Non-neuronal,M1C
47,15501.0,103.0,Oligo,Non-neuronal,M1C
56,14420.0,116.0,Oligo,Non-neuronal,M1C
58,14644.0,123.0,Oligo,Non-neuronal,M1C
60,13993.0,131.0,Oligo,Non-neuronal,M1C
63,14614.0,132.0,OPC,Non-neuronal,M1C
64,14103.0,135.0,Oligo,Non-neuronal,M1C
66,14293.0,139.0,Astro,Non-neuronal,M1C
68,15297.0,146.0,Oligo,Non-neuronal,M1C
70,14945.0,160.0,Oligo,Non-neuronal,M1C
72,16333.0,148.0,Oligo,Non-neuronal,M1C
73,13313.0,151.0,Oligo,Non-neuronal,M1C
74,13912.0,143.0,Oligo,Non-neuronal,M1C
75,13677.0,154.0,OPC,Non-neuronal,M1C
76,15645.0,145.0,Oligo,Non-neuronal,M1C
80,16550.0,166.0,Oligo,Non-neuronal,M1C
81,12713.0,162.0,Oligo,Non-neuronal,M1C
84,14577.0,168.0,Oligo,Non-neuronal,M1C
87,11703.0,183.0,Oligo,Non-neuronal,M1C
89,16129.0,181.0,Oligo,Non-neuronal,M1C
90,14019.0,177.0,Oligo,Non-neuronal,M1C
93,13867.0,181.0,Oligo,Non-neuronal,M1C
99,15773.0,183.0,Oligo,Non-neuronal,M1C
101,13772.0,189.0,Oligo,Non-neuronal,M1C
102,15066.0,180.0,Oligo,Non-neuronal,M1C
105,13415.0,194.0,Oligo,Non-neuronal,M1C
107,16064.0,194.0,Oligo,Non-neuronal,M1C
108,14058.0,202.0,Oligo,Non-neuronal,M1C
109,15954.0,200.0,Oligo,Non-neuronal,M1C
110,13667.0,200.0,Oligo,Non-neuronal,M1C
111,15295.0,203.0,Oligo,Non-neuronal,M1C
113,16275.0,196.0,Oligo,Non-neuronal,M1C
116,13000.0,211.0,Oligo,Non-neuronal,M1C
117,13867.0,207.0,Oligo,Non-neuronal,M1C
119,14842.0,217.0,Oligo,Non-neuronal,M1C
120,13505.0,215.0,Oligo,Non-neuronal,M1C
121,14445.0,218.0,Oligo,Non-neuronal,M1C
123,14220.0,213.0,Oligo,Non-neuronal,M1C
124,15862.0,220.0,Oligo,Non-neuronal,M1C
126,11652.0,224.0,Oligo,Non-neuronal,M1C
127,14912.0,228.0,Oligo,Non-neuronal,M1C
130,13985.0,237.0,Oligo,Non-neuronal,M1C
136,11700.0,231.0,Oligo,Non-neuronal,M1C
138,14251.0,242.0,Oligo,Non-neuronal,M1C
139,12872.0,235.0,Oligo,Non-neuronal,M1C
140,14060.0,241.0,Oligo,Non-neuronal,M1C
143,13367.0,247.0,Oligo,Non-neuronal,M1C
144,15740.0,243.0,Oligo,Non-neuronal,M1C
146,12693.0,245.0,Oligo,Non-neuronal,M1C
148,16093.0,252.0,Oligo,Non-neuronal,M1C
149,16268.0,253.0,Oligo,Non-neuronal,M1C
151,15663.0,251.0,Oligo,Non-neuronal,M1C
152,14346.0,252.0,Oligo,Non-neuronal,M1C
154,11666.0,254.0,Oligo,Non-neuronal,M1C
155,13538.0,250.0,Astro,Non-neuronal,M1C
164,16195.0,266.0,Oligo,Non-neuronal,M1C
165,13502.0,267.0,Oligo,Non-neuronal,M1C
168,14803.0,260.0,Oligo,Non-neuronal,M1C
172,15002.0,282.0,Oligo,Non-neuronal,M1C
173,15737.0,283.0,Oligo,Non-neuronal,M1C
175,13931.0,281.0,Oligo,Non-neuronal,M1C
176,11870.0,284.0,Oligo,Non-neuronal,M1C
178,15984.0,286.0,Oligo,Non-neuronal,M1C
180,11794.0,286.0,Oligo,Non-neuronal,M1C
181,13200.0,292.0,Oligo,Non-neuronal,M1C
185,16165.0,303.0,Oligo,Non-neuronal,M1C
189,13820.0,293.0,Oligo,Non-neuronal,M1C
191,15820.0,300.0,Oligo,Non-neuronal,M1C
