cell_label,x,y,celltype_F,celltype_F_class,area
9,13482,19,Oligo,Non-neuronal,MTG
11,10584,23,Oligo,Non-neuronal,MTG
17,15613,30,Oligo,Non-neuronal,MTG
25,10492,41,Oligo,Non-neuronal,MTG
29,17367,43,Oligo,Non-neuronal,MTG
33,11579,47,Oligo,Non-neuronal,MTG
34,14676,47,Oligo,Non-neuronal,MTG
39,13018,50,Oligo,Non-neuronal,MTG
42,10583,53,Oligo,Non-neuronal,MTG
45,11176,54,Oligo,Non-neuronal,MTG
46,11861,54,Oligo,Non-neuronal,MTG
50,15987,56,LAMP5 LHX6,Inhibitory,MTG
55,13114,62,Oligo,Non-neuronal,MTG
62,14895,70,Oligo,Non-neuronal,MTG
65,20475,73,Oligo,Non-neuronal,MTG
68,17327,73,Oligo,Non-neuronal,MTG
70,11931,75,Oligo,Non-neuronal,MTG
73,19036,75,Oligo,Non-neuronal,MTG
91,20574,82,Oligo,Non-neuronal,MTG
92,24903,82,Oligo,Non-neuronal,MTG
94,15677,84,Oligo,Non-neuronal,MTG
95,11993,87,Oligo,Non-neuronal,MTG
97,17758,86,PVALB,Inhibitory,MTG
101,23338,88,L6 IT,Excitatory,MTG
102,23692,92,Oligo,Non-neuronal,MTG
107,17101,91,LAMP5 LHX6,Inhibitory,MTG
110,13149,95,SST,Inhibitory,MTG
112,15465,98,Oligo,Non-neuronal,MTG
118,14696,100,Oligo,Non-neuronal,MTG
123,22629,104,Oligo,Non-neuronal,MTG
127,12834,109,Oligo,Non-neuronal,MTG
128,9665,111,Oligo,Non-neuronal,MTG
130,18414,111,Oligo,Non-neuronal,MTG
135,12692,114,Oligo,Non-neuronal,MTG
137,17270,113,Oligo,Non-neuronal,MTG
139,19111,117,VLMC,Non-neuronal,MTG
140,10953,119,Oligo,Non-neuronal,MTG
141,14934,118,Oligo,Non-neuronal,MTG
143,10200,120,Oligo,Non-neuronal,MTG
146,11754,119,Oligo,Non-neuronal,MTG
149,13102,122,Oligo,Non-neuronal,MTG
151,10486,124,Oligo,Non-neuronal,MTG
153,13656,122,Oligo,Non-neuronal,MTG
155,18488,122,Oligo,Non-neuronal,MTG
158,21602,123,PVALB,Inhibitory,MTG
159,16489,125,Oligo,Non-neuronal,MTG
165,13259,129,Oligo,Non-neuronal,MTG
178,10413,136,Oligo,Non-neuronal,MTG
180,9599,138,Oligo,Non-neuronal,MTG
181,16051,137,Oligo,Non-neuronal,MTG
182,18910,137,Oligo,Non-neuronal,MTG
184,11337,139,PVALB,Inhibitory,MTG
185,18411,139,Oligo,Non-neuronal,MTG
186,20939,139,L5 IT,Excitatory,MTG
195,25223,145,PVALB,Inhibitory,MTG
196,14012,147,Oligo,Non-neuronal,MTG
203,17952,148,Oligo,Non-neuronal,MTG
206,25253,147,VIP,Inhibitory,MTG
208,11112,151,Oligo,Non-neuronal,MTG
209,12199,151,Oligo,Non-neuronal,MTG
211,14163,151,Oligo,Non-neuronal,MTG
216,15943,153,Oligo,Non-neuronal,MTG
221,18252,155,Oligo,Non-neuronal,MTG
224,21788,156,Oligo,Non-neuronal,MTG
226,14080,158,Oligo,Non-neuronal,MTG
228,21588,158,Oligo,Non-neuronal,MTG
235,15786,161,VIP,Inhibitory,MTG
237,11946,164,PVALB,Inhibitory,MTG
240,21645,165,Oligo,Non-neuronal,MTG
242,10973,168,VIP,Inhibitory,MTG
243,11576,168,Oligo,Non-neuronal,MTG
244,12838,167,Micro/PVM,Non-neuronal,MTG
247,19253,169,Oligo,Non-neuronal,MTG
250,14402,172,Oligo,Non-neuronal,MTG
251,14755,172,Oligo,Non-neuronal,MTG
256,18996,175,Oligo,Non-neuronal,MTG
257,23167,174,Oligo,Non-neuronal,MTG
259,11177,177,Oligo,Non-neuronal,MTG
267,14519,182,Oligo,Non-neuronal,MTG
271,13537,181,Oligo,Non-neuronal,MTG
277,16790,185,Oligo,Non-neuronal,MTG
278,13358,186,Oligo,Non-neuronal,MTG
279,17318,187,Oligo,Non-neuronal,MTG
283,12178,189,Micro/PVM,Non-neuronal,MTG
284,12023,190,Oligo,Non-neuronal,MTG
286,15036,191,Oligo,Non-neuronal,MTG
288,24238,191,Oligo,Non-neuronal,MTG
290,16121,193,Oligo,Non-neuronal,MTG
291,23897,192,Oligo,Non-neuronal,MTG
292,11220,195,Oligo,Non-neuronal,MTG
295,9795,198,Oligo,Non-neuronal,MTG
296,11721,197,Oligo,Non-neuronal,MTG
301,13769,200,Oligo,Non-neuronal,MTG
305,14998,203,Oligo,Non-neuronal,MTG
317,11771,209,Oligo,Non-neuronal,MTG
320,15106,210,Oligo,Non-neuronal,MTG
322,12991,213,Oligo,Non-neuronal,MTG
324,18258,213,Oligo,Non-neuronal,MTG
328,23633,214,Oligo,Non-neuronal,MTG
329,22195,217,SST,Inhibitory,MTG
331,12669,217,VLMC,Non-neuronal,MTG
333,13589,220,OPC,Non-neuronal,MTG
335,20081,220,Oligo,Non-neuronal,MTG
336,13691,222,Oligo,Non-neuronal,MTG
337,14328,221,Oligo,Non-neuronal,MTG
340,10149,225,Oligo,Non-neuronal,MTG
342,19086,225,Oligo,Non-neuronal,MTG
343,22311,226,Oligo,Non-neuronal,MTG
345,15358,227,Oligo,Non-neuronal,MTG
346,20485,228,VIP,Inhibitory,MTG
348,15219,231,Oligo,Non-neuronal,MTG
349,16049,232,Oligo,Non-neuronal,MTG
352,17773,232,Oligo,Non-neuronal,MTG
353,9726,234,Oligo,Non-neuronal,MTG
360,23646,238,VIP,Inhibitory,MTG
364,9634,245,Oligo,Non-neuronal,MTG
368,12478,247,Oligo,Non-neuronal,MTG
369,14615,247,Oligo,Non-neuronal,MTG
371,12930,248,Oligo,Non-neuronal,MTG
375,17798,249,Micro/PVM,Non-neuronal,MTG
376,17439,250,Oligo,Non-neuronal,MTG
384,19927,254,OPC,Non-neuronal,MTG
386,11383,256,Oligo,Non-neuronal,MTG
391,17164,258,SST CHODL,Inhibitory,MTG
393,12543,260,Oligo,Non-neuronal,MTG
396,15146,262,Oligo,Non-neuronal,MTG
397,10038,263,Oligo,Non-neuronal,MTG
399,14406,264,Oligo,Non-neuronal,MTG
403,17044,266,Oligo,Non-neuronal,MTG
405,12034,268,Oligo,Non-neuronal,MTG
406,12705,268,Oligo,Non-neuronal,MTG
410,21263,269,Astro,Non-neuronal,MTG
420,17463,275,Oligo,Non-neuronal,MTG
421,17514,275,Oligo,Non-neuronal,MTG
423,19497,277,VIP,Inhibitory,MTG
427,12868,278,Oligo,Non-neuronal,MTG
428,18796,278,Oligo,Non-neuronal,MTG
429,19525,278,Oligo,Non-neuronal,MTG
434,16764,283,Oligo,Non-neuronal,MTG
437,19678,284,Oligo,Non-neuronal,MTG
438,18052,285,Oligo,Non-neuronal,MTG
440,21719,288,Oligo,Non-neuronal,MTG
441,15265,288,Oligo,Non-neuronal,MTG
447,18864,290,Oligo,Non-neuronal,MTG
450,16054,293,Oligo,Non-neuronal,MTG
452,10429,296,Oligo,Non-neuronal,MTG
456,21826,298,Oligo,Non-neuronal,MTG
458,13394,299,Oligo,Non-neuronal,MTG
461,16255,300,Oligo,Non-neuronal,MTG
463,18949,300,Oligo,Non-neuronal,MTG
464,21062,302,LAMP5,Inhibitory,MTG
