cell_label,x,y,celltype_F,celltype_F_class,area
2,5719,13,Micro/PVM,Non-neuronal,S1C
4,7052,16,LAMP5,Inhibitory,S1C
7,5454,21,Micro/PVM,Non-neuronal,S1C
9,7330,25,Oligo,Non-neuronal,S1C
20,8464,40,Astro,Non-neuronal,S1C
21,10771,38,Oligo,Non-neuronal,S1C
28,6735,48,OPC,Non-neuronal,S1C
30,6831,50,Astro,Non-neuronal,S1C
33,5995,55,Astro,Non-neuronal,S1C
38,10892,63,Oligo,Non-neuronal,S1C
40,11693,65,LAMP5,Inhibitory,S1C
44,4579,82,Astro,Non-neuronal,S1C
45,8154,83,Astro,Non-neuronal,S1C
46,11211,85,Oligo,Non-neuronal,S1C
49,8303,88,Astro,Non-neuronal,S1C
50,11149,86,SNCG,Inhibitory,S1C
51,10922,83,Oligo,Non-neuronal,S1C
55,8707,96,PAX6,Inhibitory,S1C
58,7404,105,Astro,Non-neuronal,S1C
59,10086,100,Oligo,Non-neuronal,S1C
60,11308,100,LAMP5 LHX6,Inhibitory,S1C
68,5685,118,OPC,Non-neuronal,S1C
69,6927,116,Oligo,Non-neuronal,S1C
70,9087,121,Micro/PVM,Non-neuronal,S1C
73,9890,127,LAMP5,Inhibitory,S1C
75,7846,134,L2/3 IT,Excitatory,S1C
76,7797,133,OPC,Non-neuronal,S1C
77,10119,133,Oligo,Non-neuronal,S1C
78,8574,135,Astro,Non-neuronal,S1C
79,5965,140,VLMC,Non-neuronal,S1C
82,6356,147,Astro,Non-neuronal,S1C
86,11873,147,Oligo,Non-neuronal,S1C
92,10505,154,L2/3 IT,Excitatory,S1C
95,5769,159,Oligo,Non-neuronal,S1C
102,6428,173,OPC,Non-neuronal,S1C
107,6552,179,Astro,Non-neuronal,S1C
108,7941,179,L2/3 IT,Excitatory,S1C
113,4887,182,Oligo,Non-neuronal,S1C
117,6014,185,Micro/PVM,Non-neuronal,S1C
123,4992,191,Micro/PVM,Non-neuronal,S1C
126,5733,192,LAMP5,Inhibitory,S1C
129,11675,198,Astro,Non-neuronal,S1C
143,11876,224,L2/3 IT,Excitatory,S1C
144,9497,226,PAX6,Inhibitory,S1C
145,6438,234,L2/3 IT,Excitatory,S1C
149,7197,240,Micro/PVM,Non-neuronal,S1C
153,7967,252,L2/3 IT,Excitatory,S1C
154,4841,256,VLMC,Non-neuronal,S1C
155,5149,255,Astro,Non-neuronal,S1C
156,6993,256,L2/3 IT,Excitatory,S1C
161,11973,269,Oligo,Non-neuronal,S1C
168,10804,283,OPC,Non-neuronal,S1C
171,8475,291,Astro,Non-neuronal,S1C
172,8591,291,PAX6,Inhibitory,S1C
176,11561,293,L2/3 IT,Excitatory,S1C
177,4932,295,Astro,Non-neuronal,S1C
182,8808,297,Endo,Non-neuronal,S1C
183,4874,300,Astro,Non-neuronal,S1C
185,6294,302,Micro/PVM,Non-neuronal,S1C
188,5385,303,OPC,Non-neuronal,S1C
190,9449,306,L2/3 IT,Excitatory,S1C
197,9349,311,Astro,Non-neuronal,S1C
200,4687,319,VIP,Inhibitory,S1C
201,10102,318,Oligo,Non-neuronal,S1C
203,6613,318,L2/3 IT,Excitatory,S1C
204,8368,320,Micro/PVM,Non-neuronal,S1C
207,5830,322,L2/3 IT,Excitatory,S1C
211,4586,328,L2/3 IT,Excitatory,S1C
215,5042,329,L2/3 IT,Excitatory,S1C
217,4734,332,L2/3 IT,Excitatory,S1C
218,5691,328,L2/3 IT,Excitatory,S1C
225,5195,341,Astro,Non-neuronal,S1C
227,5875,347,L2/3 IT,Excitatory,S1C
231,4898,352,Astro,Non-neuronal,S1C
232,5327,352,L2/3 IT,Excitatory,S1C
238,7788,357,Astro,Non-neuronal,S1C
239,5726,361,Micro/PVM,Non-neuronal,S1C
241,6162,361,L2/3 IT,Excitatory,S1C
242,5593,362,L2/3 IT,Excitatory,S1C
243,6655,364,L2/3 IT,Excitatory,S1C
247,7236,377,Astro,Non-neuronal,S1C
248,7213,378,Astro,Non-neuronal,S1C
249,11875,378,L2/3 IT,Excitatory,S1C
250,6947,382,PAX6,Inhibitory,S1C
253,12185,382,Oligo,Non-neuronal,S1C
257,10957,389,Astro,Non-neuronal,S1C
264,5086,395,SST,Inhibitory,S1C
266,6462,396,L2/3 IT,Excitatory,S1C
267,10031,397,LAMP5,Inhibitory,S1C
268,11079,397,PAX6,Inhibitory,S1C
275,7040,408,Micro/PVM,Non-neuronal,S1C
277,6958,414,SNCG,Inhibitory,S1C
285,5429,421,Astro,Non-neuronal,S1C
289,8268,428,Micro/PVM,Non-neuronal,S1C
292,10801,428,L2/3 IT,Excitatory,S1C
296,6405,436,L2/3 IT,Excitatory,S1C
302,7506,449,Astro,Non-neuronal,S1C
304,7388,452,OPC,Non-neuronal,S1C
308,6560,462,L2/3 IT,Excitatory,S1C
310,8485,461,L2/3 IT,Excitatory,S1C
312,6936,463,Micro/PVM,Non-neuronal,S1C
314,4666,465,L2/3 IT,Excitatory,S1C
315,8912,466,L2/3 IT,Excitatory,S1C
319,5403,472,L2/3 IT,Excitatory,S1C
321,7803,473,L2/3 IT,Excitatory,S1C
324,5697,474,SST,Inhibitory,S1C
325,10144,473,Astro,Non-neuronal,S1C
328,5639,484,L2/3 IT,Excitatory,S1C
329,10492,484,L2/3 IT,Excitatory,S1C
330,10583,494,L4 IT,Excitatory,S1C
332,10838,492,Astro,Non-neuronal,S1C
336,9038,495,Astro,Non-neuronal,S1C
338,6891,498,Chandelier,Inhibitory,S1C
342,8255,501,Micro/PVM,Non-neuronal,S1C
345,6445,500,Astro,Non-neuronal,S1C
347,4942,502,OPC,Non-neuronal,S1C
348,4987,502,Micro/PVM,Non-neuronal,S1C
349,8793,505,LAMP5,Inhibitory,S1C
350,8004,507,L2/3 IT,Excitatory,S1C
353,4644,516,L2/3 IT,Excitatory,S1C
354,9313,516,Micro/PVM,Non-neuronal,S1C
357,6285,523,Micro/PVM,Non-neuronal,S1C
361,7612,525,L2/3 IT,Excitatory,S1C
366,5501,531,L2/3 IT,Excitatory,S1C
368,5257,538,L2/3 IT,Excitatory,S1C
372,5781,543,L2/3 IT,Excitatory,S1C
373,6252,543,Oligo,Non-neuronal,S1C
376,4803,546,Astro,Non-neuronal,S1C
380,5128,549,L2/3 IT,Excitatory,S1C
382,9759,552,Astro,Non-neuronal,S1C
386,7276,565,Micro/PVM,Non-neuronal,S1C
388,4975,569,VLMC,Non-neuronal,S1C
393,9848,577,Astro,Non-neuronal,S1C
394,4446,579,L2/3 IT,Excitatory,S1C
405,8099,588,Micro/PVM,Non-neuronal,S1C
407,6284,592,L2/3 IT,Excitatory,S1C
409,11286,596,SNCG,Inhibitory,S1C
411,6894,598,L2/3 IT,Excitatory,S1C
412,7734,598,L2/3 IT,Excitatory,S1C
416,6047,603,Micro/PVM,Non-neuronal,S1C
418,7870,603,L2/3 IT,Excitatory,S1C
419,6366,604,Astro,Non-neuronal,S1C
422,8696,612,SNCG,Inhibitory,S1C
425,6931,620,Astro,Non-neuronal,S1C
429,7207,624,L2/3 IT,Excitatory,S1C
432,6670,632,L2/3 IT,Excitatory,S1C
435,6749,640,Astro,Non-neuronal,S1C
437,6174,642,Micro/PVM,Non-neuronal,S1C
438,4552,645,Micro/PVM,Non-neuronal,S1C
439,7296,643,Astro,Non-neuronal,S1C
441,5674,645,L2/3 IT,Excitatory,S1C
442,6045,645,LAMP5 LHX6,Inhibitory,S1C
444,10425,652,Micro/PVM,Non-neuronal,S1C
445,4510,648,Oligo,Non-neuronal,S1C
446,9036,655,OPC,Non-neuronal,S1C
447,12079,656,Micro/PVM,Non-neuronal,S1C
452,4809,662,Astro,Non-neuronal,S1C
453,5176,666,SST,Inhibitory,S1C
456,4510,675,Endo,Non-neuronal,S1C
460,7513,675,L2/3 IT,Excitatory,S1C
462,5213,674,L2/3 IT,Excitatory,S1C
465,11567,676,Astro,Non-neuronal,S1C
468,6566,683,L2/3 IT,Excitatory,S1C
470,11598,685,Astro,Non-neuronal,S1C
472,11505,691,Micro/PVM,Non-neuronal,S1C
477,5140,702,Oligo,Non-neuronal,S1C
484,7190,712,PAX6,Inhibitory,S1C
485,8212,713,L2/3 IT,Excitatory,S1C
487,5880,715,L2/3 IT,Excitatory,S1C
488,7466,716,Micro/PVM,Non-neuronal,S1C
490,10518,717,Micro/PVM,Non-neuronal,S1C
493,7915,727,SNCG,Inhibitory,S1C
494,8292,729,L2/3 IT,Excitatory,S1C
498,11168,737,LAMP5,Inhibitory,S1C
499,4921,740,Endo,Non-neuronal,S1C
501,9756,742,Micro/PVM,Non-neuronal,S1C
502,5006,744,Astro,Non-neuronal,S1C
504,5812,746,Oligo,Non-neuronal,S1C
508,9350,756,L2/3 IT,Excitatory,S1C
509,5039,756,Astro,Non-neuronal,S1C
512,11445,756,L5/6 NP,Excitatory,S1C
514,11130,767,VLMC,Non-neuronal,S1C
515,6790,774,SST,Inhibitory,S1C
516,9546,776,PAX6,Inhibitory,S1C
517,7110,782,Astro,Non-neuronal,S1C
518,5368,783,L2/3 IT,Excitatory,S1C
519,7792,783,L2/3 IT,Excitatory,S1C
522,4969,787,Astro,Non-neuronal,S1C
528,8665,800,L2/3 IT,Excitatory,S1C
529,10006,801,Oligo,Non-neuronal,S1C
530,11872,802,Astro,Non-neuronal,S1C
532,8078,807,SST,Inhibitory,S1C
535,8121,808,LAMP5,Inhibitory,S1C
538,11388,818,Astro,Non-neuronal,S1C
540,9394,820,L2/3 IT,Excitatory,S1C
546,5415,835,L5 ET,Excitatory,S1C
548,7216,836,Micro/PVM,Non-neuronal,S1C
550,11860,836,Astro,Non-neuronal,S1C
552,9054,841,LAMP5,Inhibitory,S1C
553,11335,840,Micro/PVM,Non-neuronal,S1C
554,7362,844,L2/3 IT,Excitatory,S1C
556,12062,846,Astro,Non-neuronal,S1C
560,10716,850,Micro/PVM,Non-neuronal,S1C
562,4778,853,Micro/PVM,Non-neuronal,S1C
564,5973,854,Oligo,Non-neuronal,S1C
565,8579,854,L5 IT,Excitatory,S1C
566,8781,853,L2/3 IT,Excitatory,S1C
