cell_label,x,y,celltype_F,celltype_F_class,area
11,6909,24,SNCG,Inhibitory,V1C
14,5661,27,L2/3 IT,Excitatory,V1C
19,6210,34,L2/3 IT,Excitatory,V1C
21,7590,34,L2/3 IT,Excitatory,V1C
22,7877,33,L2/3 IT,Excitatory,V1C
26,8220,35,L2/3 IT,Excitatory,V1C
36,5247,43,L2/3 IT,Excitatory,V1C
37,7970,43,L2/3 IT,Excitatory,V1C
39,9210,44,L2/3 IT,Excitatory,V1C
40,8308,45,Astro,Non-neuronal,V1C
41,10256,46,L2/3 IT,Excitatory,V1C
43,10564,47,L2/3 IT,Excitatory,V1C
50,10522,51,VIP,Inhibitory,V1C
68,7450,60,OPC,Non-neuronal,V1C
72,10797,59,L2/3 IT,Excitatory,V1C
77,3932,65,LAMP5,Inhibitory,V1C
79,13987,65,SNCG,Inhibitory,V1C
85,9286,68,L2/3 IT,Excitatory,V1C
93,9984,72,L2/3 IT,Excitatory,V1C
100,5612,78,Astro,Non-neuronal,V1C
101,6401,77,Micro/PVM,Non-neuronal,V1C
104,16890,76,L2/3 IT,Excitatory,V1C
105,14222,79,L2/3 IT,Excitatory,V1C
109,16754,78,L4 IT,Excitatory,V1C
110,13792,81,L2/3 IT,Excitatory,V1C
111,16467,80,L4 IT,Excitatory,V1C
113,17987,81,VIP,Inhibitory,V1C
115,9558,83,Astro,Non-neuronal,V1C
118,16688,85,LAMP5,Inhibitory,V1C
120,10614,85,L2/3 IT,Excitatory,V1C
121,15578,87,L2/3 IT,Excitatory,V1C
122,16720,86,L2/3 IT,Excitatory,V1C
123,17788,86,L4 IT,Excitatory,V1C
125,16970,88,L2/3 IT,Excitatory,V1C
133,13041,91,Astro,Non-neuronal,V1C
134,14439,91,L2/3 IT,Excitatory,V1C
137,18551,91,L2/3 IT,Excitatory,V1C
138,19168,92,L4 IT,Excitatory,V1C
150,8879,96,L2/3 IT,Excitatory,V1C
151,12840,96,VLMC,Non-neuronal,V1C
153,10821,98,L2/3 IT,Excitatory,V1C
154,11550,98,L2/3 IT,Excitatory,V1C
155,12683,99,SST,Inhibitory,V1C
