count	region	subclass
3	A24	L2_3_IT
3	A9	L2_3_IT
7	FI	L2_3_IT
7	M1C	L2_3_IT
6	S1C	L2_3_IT
3	MTG	L2_3_IT
1	A1C	L2_3_IT
5	AnG	L2_3_IT
22	V1C	L2_3_IT
10	A24	L4_IT
6	A9	L4_IT
8	FI	L4_IT
2	M1C	L4_IT
8	S1C	L4_IT
8	MTG	L4_IT
3	A1C	L4_IT
7	AnG	L4_IT
16	V1C	L4_IT
8	A24	L5_IT
5	A9	L5_IT
5	FI	L5_IT
7	M1C	L5_IT
11	S1C	L5_IT
2	MTG	L5_IT
3	A1C	L5_IT
6	AnG	L5_IT
5	V1C	L5_IT
9	A24	L6_IT
6	A9	L6_IT
4	FI	L6_IT
5	M1C	L6_IT
12	S1C	L6_IT
6	MTG	L6_IT
6	A1C	L6_IT
24	AnG	L6_IT
39	V1C	L6_IT
5	A24	L5_6_NP
10	A9	L5_6_NP
2	FI	L5_6_NP
5	M1C	L5_6_NP
2	S1C	L5_6_NP
4	MTG	L5_6_NP
3	A1C	L5_6_NP
4	AnG	L5_6_NP
2	V1C	L5_6_NP
3	A24	L5_ET
2	A9	L5_ET
0	FI	L5_ET
1	M1C	L5_ET
1	S1C	L5_ET
0	MTG	L5_ET
0	A1C	L5_ET
2	AnG	L5_ET
0	V1C	L5_ET
14	A24	L6_CT
3	A9	L6_CT
2	FI	L6_CT
1	M1C	L6_CT
9	S1C	L6_CT
9	MTG	L6_CT
15	A1C	L6_CT
7	AnG	L6_CT
25	V1C	L6_CT
2	A24	L6B
6	A9	L6B
4	FI	L6B
2	M1C	L6B
2	S1C	L6B
4	MTG	L6B
3	A1C	L6B
3	AnG	L6B
8	V1C	L6B
0	A24	L6_IT_Car3
2	A9	L6_IT_Car3
1	FI	L6_IT_Car3
4	M1C	L6_IT_Car3
5	S1C	L6_IT_Car3
8	MTG	L6_IT_Car3
7	A1C	L6_IT_Car3
4	AnG	L6_IT_Car3
23	V1C	L6_IT_Car3
1	A24	SNCG
0	A9	SNCG
3	FI	SNCG
0	M1C	SNCG
1	S1C	SNCG
0	MTG	SNCG
1	A1C	SNCG
0	AnG	SNCG
2	V1C	SNCG
7	A24	SST
4	A9	SST
2	FI	SST
1	M1C	SST
2	S1C	SST
3	MTG	SST
4	A1C	SST
1	AnG	SST
5	V1C	SST
0	A24	SST_CHODL
0	A9	SST_CHODL
0	FI	SST_CHODL
0	M1C	SST_CHODL
0	S1C	SST_CHODL
0	MTG	SST_CHODL
0	A1C	SST_CHODL
0	AnG	SST_CHODL
0	V1C	SST_CHODL
6	A24	LAMP5
1	A9	LAMP5
3	FI	LAMP5
0	M1C	LAMP5
3	S1C	LAMP5
0	MTG	LAMP5
1	A1C	LAMP5
0	AnG	LAMP5
1	V1C	LAMP5
2	A24	LAMP5_LHX6
3	A9	LAMP5_LHX6
3	FI	LAMP5_LHX6
0	M1C	LAMP5_LHX6
1	S1C	LAMP5_LHX6
4	MTG	LAMP5_LHX6
5	A1C	LAMP5_LHX6
1	AnG	LAMP5_LHX6
1	V1C	LAMP5_LHX6
2	A24	VIP
1	A9	VIP
1	FI	VIP
2	M1C	VIP
5	S1C	VIP
2	MTG	VIP
0	A1C	VIP
5	AnG	VIP
5	V1C	VIP
2	A24	PAX6
0	A9	PAX6
4	FI	PAX6
1	M1C	PAX6
2	S1C	PAX6
0	MTG	PAX6
1	A1C	PAX6
4	AnG	PAX6
0	V1C	PAX6
14	A24	PVALB
4	A9	PVALB
2	FI	PVALB
2	M1C	PVALB
9	S1C	PVALB
3	MTG	PVALB
6	A1C	PVALB
12	AnG	PVALB
15	V1C	PVALB
2	A24	Chandelier
2	A9	Chandelier
1	FI	Chandelier
1	M1C	Chandelier
2	S1C	Chandelier
2	MTG	Chandelier
2	A1C	Chandelier
2	AnG	Chandelier
5	V1C	Chandelier
1	A24	Oligo
4	A9	Oligo
0	FI	Oligo
0	M1C	Oligo
1	S1C	Oligo
2	MTG	Oligo
0	A1C	Oligo
1	AnG	Oligo
1	V1C	Oligo
7	A24	Astro
1	A9	Astro
1	FI	Astro
0	M1C	Astro
1	S1C	Astro
1	MTG	Astro
0	A1C	Astro
0	AnG	Astro
4	V1C	Astro
0	A24	Micro
2	A9	Micro
3	FI	Micro
1	M1C	Micro
0	S1C	Micro
0	MTG	Micro
0	A1C	Micro
1	AnG	Micro
2	V1C	Micro
5	A24	OPC
3	A9	OPC
2	FI	OPC
0	M1C	OPC
4	S1C	OPC
4	MTG	OPC
0	A1C	OPC
4	AnG	OPC
7	V1C	OPC
0	A24	Endo
0	A9	Endo
0	FI	Endo
0	M1C	Endo
0	S1C	Endo
0	MTG	Endo
0	A1C	Endo
0	AnG	Endo
0	V1C	Endo
1	A24	VLMC
0	A9	VLMC
0	FI	VLMC
0	M1C	VLMC
0	S1C	VLMC
0	MTG	VLMC
1	A1C	VLMC
0	AnG	VLMC
0	V1C	VLMC
