count	region	subclass
64	A24	L2_3_IT
0	A9	L2_3_IT
1	FI	L2_3_IT
7	M1C	L2_3_IT
18	S1C	L2_3_IT
0	MTG	L2_3_IT
0	A1C	L2_3_IT
0	AnG	L2_3_IT
394	V1C	L2_3_IT
299	A24	L4_IT
0	A9	L4_IT
1	FI	L4_IT
3	M1C	L4_IT
16	S1C	L4_IT
0	MTG	L4_IT
3	A1C	L4_IT
1	AnG	L4_IT
382	V1C	L4_IT
35	A24	L5_IT
0	A9	L5_IT
1	FI	L5_IT
0	M1C	L5_IT
13	S1C	L5_IT
0	MTG	L5_IT
1	A1C	L5_IT
0	AnG	L5_IT
221	V1C	L5_IT
42	A24	L6_IT
0	A9	L6_IT
22	FI	L6_IT
0	M1C	L6_IT
4	S1C	L6_IT
4	MTG	L6_IT
3	A1C	L6_IT
0	AnG	L6_IT
227	V1C	L6_IT
120	A24	L5_6_NP
0	A9	L5_6_NP
12	FI	L5_6_NP
0	M1C	L5_6_NP
27	S1C	L5_6_NP
7	MTG	L5_6_NP
2	A1C	L5_6_NP
0	AnG	L5_6_NP
82	V1C	L5_6_NP
53	A24	L5_ET
2	A9	L5_ET
21	FI	L5_ET
41	M1C	L5_ET
37	S1C	L5_ET
9	MTG	L5_ET
2	A1C	L5_ET
1	AnG	L5_ET
318	V1C	L5_ET
36	A24	L6_CT
3	A9	L6_CT
2	FI	L6_CT
3	M1C	L6_CT
2	S1C	L6_CT
25	MTG	L6_CT
2	A1C	L6_CT
0	AnG	L6_CT
490	V1C	L6_CT
23	A24	L6B
0	A9	L6B
5	FI	L6B
0	M1C	L6B
2	S1C	L6B
1	MTG	L6B
2	A1C	L6B
1	AnG	L6B
127	V1C	L6B
19	A24	L6_IT_Car3
0	A9	L6_IT_Car3
30	FI	L6_IT_Car3
0	M1C	L6_IT_Car3
3	S1C	L6_IT_Car3
0	MTG	L6_IT_Car3
34	A1C	L6_IT_Car3
0	AnG	L6_IT_Car3
213	V1C	L6_IT_Car3
0	A24	SNCG
0	A9	SNCG
0	FI	SNCG
0	M1C	SNCG
0	S1C	SNCG
0	MTG	SNCG
0	A1C	SNCG
0	AnG	SNCG
27	V1C	SNCG
3	A24	SST
0	A9	SST
0	FI	SST
0	M1C	SST
0	S1C	SST
0	MTG	SST
0	A1C	SST
0	AnG	SST
152	V1C	SST
0	A24	SST_CHODL
0	A9	SST_CHODL
0	FI	SST_CHODL
1	M1C	SST_CHODL
0	S1C	SST_CHODL
0	MTG	SST_CHODL
0	A1C	SST_CHODL
0	AnG	SST_CHODL
3	V1C	SST_CHODL
0	A24	LAMP5
0	A9	LAMP5
0	FI	LAMP5
0	M1C	LAMP5
0	S1C	LAMP5
0	MTG	LAMP5
0	A1C	LAMP5
0	AnG	LAMP5
46	V1C	LAMP5
3	A24	LAMP5_LHX6
0	A9	LAMP5_LHX6
0	FI	LAMP5_LHX6
0	M1C	LAMP5_LHX6
0	S1C	LAMP5_LHX6
0	MTG	LAMP5_LHX6
0	A1C	LAMP5_LHX6
0	AnG	LAMP5_LHX6
73	V1C	LAMP5_LHX6
7	A24	VIP
0	A9	VIP
0	FI	VIP
0	M1C	VIP
0	S1C	VIP
0	MTG	VIP
0	A1C	VIP
0	AnG	VIP
51	V1C	VIP
1	A24	PAX6
0	A9	PAX6
0	FI	PAX6
0	M1C	PAX6
0	S1C	PAX6
0	MTG	PAX6
1	A1C	PAX6
0	AnG	PAX6
12	V1C	PAX6
8	A24	PVALB
0	A9	PVALB
0	FI	PVALB
10	M1C	PVALB
1	S1C	PVALB
0	MTG	PVALB
0	A1C	PVALB
0	AnG	PVALB
107	V1C	PVALB
7	A24	Chandelier
0	A9	Chandelier
0	FI	Chandelier
0	M1C	Chandelier
0	S1C	Chandelier
0	MTG	Chandelier
0	A1C	Chandelier
0	AnG	Chandelier
51	V1C	Chandelier
0	A24	Oligo
1	A9	Oligo
0	FI	Oligo
2	M1C	Oligo
0	S1C	Oligo
0	MTG	Oligo
0	A1C	Oligo
0	AnG	Oligo
0	V1C	Oligo
4	A24	Astro
0	A9	Astro
0	FI	Astro
1	M1C	Astro
0	S1C	Astro
0	MTG	Astro
0	A1C	Astro
0	AnG	Astro
1	V1C	Astro
0	A24	Micro
0	A9	Micro
1	FI	Micro
0	M1C	Micro
0	S1C	Micro
0	MTG	Micro
0	A1C	Micro
0	AnG	Micro
0	V1C	Micro
0	A24	OPC
0	A9	OPC
0	FI	OPC
0	M1C	OPC
0	S1C	OPC
0	MTG	OPC
0	A1C	OPC
0	AnG	OPC
4	V1C	OPC
0	A24	Endo
1	A9	Endo
0	FI	Endo
0	M1C	Endo
0	S1C	Endo
0	MTG	Endo
0	A1C	Endo
0	AnG	Endo
0	V1C	Endo
3	A24	VLMC
0	A9	VLMC
0	FI	VLMC
0	M1C	VLMC
0	S1C	VLMC
0	MTG	VLMC
0	A1C	VLMC
0	AnG	VLMC
0	V1C	VLMC
